Name,Address,Genre,Business Hours,Number of Seats,Phone Number,URL
お好み焼きたけ坊,岩手県 盛岡市 永井 22-3-149,お好み焼き,"営業時間
【月木金】17:00~24:00
【土日祝】15:00~24:00
food last 23:00
drink last 23:30
※ひとつひとつ丁寧に焼かせていただくため、
混雑時、お好み焼きをご提供するのにお時間を要してしまう場合がございます。
日曜営業
定休日
毎週火曜日水曜日",26席,,https://tabelog.com/iwate/A0301/A030101/3001016/
ファル 上田店,岩手県 盛岡市 本町通 3-12-5,コンビニ・スーパー,"営業時間
10:00～24:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011094/
コープ生協高松,岩手県 盛岡市 上田 4-21-5,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010311/
ローソン 盛岡西見前和野店,岩手県 盛岡市 西見前 15-115-1,コンビニ・スーパー,,,,https://tabelog.com/iwate/A0301/A030101/3011466/
盛岡ニューシティホテル,岩手県 盛岡市 盛岡駅前通 13-10,ホテル,"営業時間
朝食タイム 7:00～9:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3001023/
岩手県営運動公園 売店,岩手県 盛岡市 みたけ 1-10-1,その他,"営業時間
不定
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009396/
シェフズ弁当 盛岡エリア,岩手県 盛岡市 中ノ橋通 1-6-8 Nanak  8F,その他,"営業時間
9:00～16:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009064/
田清魚店 本店,岩手県 盛岡市 清水町 1-17,その他,"営業時間
11:00～18:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010988/
九戸屋肉店,岩手県 盛岡市 月が丘 3-29-16,その他,"営業時間
8:30～19:00
日曜営業
定休日
第1水曜日・第3水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008404/
ファミリーマート 盛岡肴町店,岩手県 盛岡市 肴町 5-9,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008029/
ニューデイズ,岩手県 盛岡市 盛岡駅前通 1-48 盛岡駅 2F 南側,コンビニ・スーパー,"営業時間
［月～金］
8:00～20:00 
［土］
8:00～20:00 
［日・祝］
8:00～20:00
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011171/
赤武酒造 株式会社,岩手県 盛岡市 北飯岡 1-8-60 盛岡復活蔵,その他,"営業時間
9:00～16:00
定休日
土曜日・日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008175/
サンフレッシュ都南 産直コーナー,岩手県 盛岡市 下飯岡 21-180,その他,"営業時間
9:00～18:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009108/
星川魚店,岩手県 盛岡市 本町通 3-17-38,その他,"営業時間
9:00～18:00(売切次第終了)
定休日
日曜日・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008905/
ホテルルートイン 盛岡南インター,岩手県 盛岡市 津志田 14地割167,ホテル,"営業時間
チェックイン15:00 チェックアウト翌10:00
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006933/
イオンラウンジ イオンモール盛岡店,岩手県 盛岡市 前潟 4-7-1,その他,,,,https://tabelog.com/iwate/A0301/A030101/3012299/
ドン･キホーテ 盛岡上堂店,岩手県 盛岡市 上堂 1-2-38,その他,"営業時間
9:00～翌3:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010176/
とれとれ市場 マルヨシ水産,岩手県 盛岡市 南仙北 1-21-37,その他,"営業時間
10:00～18:00
定休日
日曜日、祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011676/
食彩工房  クロステラス盛岡店,岩手県 盛岡市 大通 り3-4-1 クロステラス 1F,コンビニ・スーパー,"営業時間
10:00～20:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011006/
Universe 鉈屋町店,岩手県 盛岡市 鉈屋町 11-8,コンビニ・スーパー,"営業時間
10:00～24:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012240/
セブンイレブン 盛岡大通3丁目店,岩手県 盛岡市 大通 3-2-8,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011675/
賢治の大地館 クロステラス盛岡店,岩手県 盛岡市 大通 3-4-1 クロステラス盛岡 1F,その他,"営業時間
10:00～20:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008836/
ダイワロイネットホテル 盛岡駅前,岩手県 盛岡市 駅前通7-15,その他,,,,https://tabelog.com/iwate/A0301/A030101/3012037/
おみやげ処 もりおか,岩手県 盛岡市 盛岡駅前通 1-48 新幹線改札内,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010887/
JA全農いわて 純情ショップ,岩手県 盛岡市 大通 1-2-1 サンビル 1F,その他,"営業時間
［月～金］
10:00～18:30
［土・日・祝］
10:00～18:00
定休日
第2・4日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。","
                    （ビル内の椅子やベンチなど）
                  ",,https://tabelog.com/iwate/A0301/A030101/3011749/
ファミリーマート 盛岡中央通二丁目店,岩手県 盛岡市 中央通 2-1-21,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012268/
ローソン 盛岡安倍館町店,岩手県 盛岡市 安倍館町 12-46,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008711/
快活CLUB 盛岡大通店,岩手県 盛岡市 大通 2-6-8 セントラルガーデンスクエア 1F～3F,その他,,,,https://tabelog.com/iwate/A0301/A030101/3011821/
チコズ カフェ,岩手県 盛岡市 上田 3-17-43,その他,"営業時間
10:30～17:30(LO17:00)
定休日
土・日・祝日（土曜営業　月に1回あり）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010048/
ローソン 盛岡大館店,岩手県 盛岡市 大館町 17-5,コンビニ・スーパー,"営業時間
24H
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010357/
スーパーホテル 盛岡,岩手県 盛岡市 盛岡駅前北通 10-38,ホテル,"営業時間
チェックイン15:00 チェックアウト翌10:00
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006959/
つなぎ温泉観光案内所,岩手県 盛岡市 つなぎ字湯の舘121-1,その他,"営業時間
9:00～18:00
定休日
水曜日、第2・4日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010957/
プティ アクイーユ,岩手県 盛岡市 津志田中央 3-6-3,その他,"営業時間
10:00～18:00
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010189/
セブンイレブン 盛岡中野店,岩手県 盛岡市 中野 1-29-38,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
なし
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010536/
ローソン 盛岡駅前店,岩手県 盛岡市 盛岡駅前通 14-9,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009007/
瓶ドン屋 みやこ,岩手県 盛岡市 盛岡駅前通 1-44 盛岡駅ビル フェザン  おでんせ館 1F,その他,"営業時間
9:00～20:30
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012108/
ファミリーマート 盛岡クロステラス店,岩手県 盛岡市 大通 3-4-1 クロステラス,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012036/
セブンイレブン 岩手大学前店,岩手県 盛岡市 上田 3-3-14,コンビニ・スーパー,"営業時間
24時間営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012257/
ジョイス 本町店,岩手県 盛岡市 本町通 1-13-1,コンビニ・スーパー,"営業時間
9:00～23:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010559/
サンカ,岩手県 盛岡市 中野 1-17-7,その他,,,,https://tabelog.com/iwate/A0301/A030101/3012286/
エスポワールいわて,岩手県 盛岡市 中央通 1-1-38,その他,"営業時間
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010440/
ふれあい純情市場さっこら,岩手県 盛岡市 仙北 2-5-4,その他,,,,https://tabelog.com/iwate/A0301/A030101/3009295/
岩手の酒屋 キキザケヤ,岩手県 盛岡市 盛岡駅前通 1-44 盛岡駅フェザン おでんせ館 1F,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010968/
こがねの里,岩手県 盛岡市 上太田 上吉本63-2,ジェラート・アイスクリーム、その他,"営業時間
[1月～3月・11月・12月] 9:00～17:00 [4月～10月] 9:00～18:00
日曜営業
定休日
第2火曜日・第4火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3007926/
ホテル　ジン,岩手県 盛岡市 盛岡駅西通 1-6-15,ホテル,"営業時間
チェックイン15:00　チェックアウト10:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006363/
ベルプラスワン,岩手県 盛岡市 大通 2-8-14,コンビニ・スーパー,"営業時間
9:00～23:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011540/
MAIYA 青山店,岩手県 盛岡市 青山 1-19-1,その他,"営業時間
9:00～22:00
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010666/
マルイチ 材木町,岩手県 盛岡市 材木町 5-25,その他,"営業時間
[月～金]9:30～23:00 [日・祝]9:00～23:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010121/
源三屋,岩手県 盛岡市 大慈寺町 10-34,その他、日本酒バー,"営業時間
11:30～(完全予約制)
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008283/
ベルフ青山,岩手県 盛岡市 青山 4-17-2,その他,"営業時間
9:00～23:00
日曜営業
定休日
無休(1月1日のみ休み)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009118/
てんぐの里106 盛岡東部産直センター,岩手県 盛岡市 川目 6-85-2,その他,"営業時間
[1月・2月] 9:00～17:00 [3月～12月] 9:00～18:00
日曜営業
定休日
無休(年末年始のみ休み)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009180/
セブンイレブン 盛岡青山1丁目店,岩手県 盛岡市 青山 1-23-25,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010606/
イオンスーパーセンター 盛岡渋民店,岩手県 盛岡市 玉山 区渋民字鵜飼20-1,その他,"営業時間
8:00～21:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008137/
あいさい館,岩手県 盛岡市 上鹿妻 山崎41-1,その他,"営業時間
[1月～3月・12月] 9:00～17:00 [4月～11月] 9:00～18:00
日曜営業
定休日
第1月曜日・第3月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008965/
まちの驛もりおか さんさん広場,岩手県 盛岡市 中ノ橋通 1-1-10,その他,"営業時間
10:00～18:30
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010691/
VidA,岩手県 盛岡市 菜園 1-5-9 銀章堂ビル ２F,バー、その他,"営業時間
[月～土]
19:00～3:00(ラストオーダー 2:30)
定休日
日曜(連休の場合は翌日)",28席,,https://tabelog.com/iwate/A0301/A030101/3006063/
県産品コーナー,岩手県 盛岡市 菜園 1-10-1 パルクアベニューカワトク  B1F,その他,"営業時間
[月～日]
10:00～19:00
日曜営業
定休日
元日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011013/
桜顔酒造,岩手県 盛岡市 川目町 23-18,その他,"営業時間
8:30～17:00
定休日
土曜日・日曜日・祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008216/
マート桜台,岩手県 盛岡市 桜台 2-3-7,コンビニ・スーパー,"営業時間
[月・火・水・木・金]
9:30～20:00
[日・祝]
9:30～19:00
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012132/
ベルヴィ 盛岡,岩手県 盛岡市 本宮 6-8-22,結婚式場,"営業時間
[月,火,金,土,日]
11：30～17：00
結婚式を頂いている場合臨時休業となります
日曜営業
定休日
水曜日・木曜日",40席,,https://tabelog.com/iwate/A0301/A030101/3010437/
株式会社 岩手牛乳,岩手県 盛岡市 上厨川 字柳原5-8,その他,,,,https://tabelog.com/iwate/A0301/A030104/3010611/
シャンブル 青山店,岩手県 盛岡市 青山 4-33-1,その他,"営業時間
[月～金] 11:00～20:00 [土・日・祝] 10:00～20:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009119/
福来屋酒店,岩手県 盛岡市 仙北 2-2-28,その他,,,,https://tabelog.com/iwate/A0301/A030101/3011024/
セブンイレブン 岩手県立中央病院前店,岩手県 盛岡市 上田 1-6-12,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
なし
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010747/
ホテルブライトイン盛岡,岩手県 盛岡市 中ノ橋通 1-1-21,ホテル,"営業時間
チェックイン13:00 チェックアウト翌11:00
日曜営業
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006946/
薬王堂 盛岡緑が丘店,岩手県 盛岡市 緑が丘 3-1-10,その他,"営業時間
9:00～22:00
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011281/
Aコープ ゆざわ店,岩手県 盛岡市 湯沢東 1-3-11,その他,"営業時間
10:00～21:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009464/
北ホテル,岩手県 盛岡市 内丸 17-45,ホテル,,,,https://tabelog.com/iwate/A0301/A030101/3010833/
クイーンズフォンテ,岩手県 盛岡市 大通 2-1-23 サンクイーンビル 6F,その他,"営業時間
【火～木、日、祝日】
17:00～翌1:00
【金、土】
11:00～19:00
【祝前日】
11:00～翌1:00
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010585/
ファミリーマート 盛岡西松園店,岩手県 盛岡市 西松園 1-1-15,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010173/
orka’tta オルカッタ ご当地自販機ステーション,岩手県 盛岡市 長田町 1-5 オルカ 1F,売店,"営業時間
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012254/
セブンイレブン 盛岡南大通3丁目,岩手県 盛岡市 南大通 3-1-2,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008019/
鍵屋酒店,岩手県 盛岡市 中ノ橋通1-5-25,その他,"営業時間
10:00～19:00
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",8席,,https://tabelog.com/iwate/A0301/A030101/3009644/
猫喫茶 空陸家 盛岡店,岩手県 盛岡市 東仙北 2-1-38 ペットショップ Coo&RIKU岩手盛岡店,その他,"営業時間
[月～金]
11:00～20:00(最終受付 19:30)
[土・日・祝]
10:00～20:00(最終受付 19:30)
日曜営業
定休日
不定休(ペットショップ Coo&RIKU盛岡店に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011456/
リカーコート プロースト,岩手県 盛岡市 盛岡駅前通 1-44 フェザン本館 B1F,その他,"営業時間
10:00～20:30
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3011251/
産直ながはし,岩手県 盛岡市 長橋町 229,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010775/
ローソン 盛岡大通り二丁目店,岩手県 盛岡市 大通 2-7-28,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008712/
ユニバース 盛岡みたけ店,岩手県 盛岡市 みたけ 2-8-25,その他,"営業時間
9:0.0〜24:00
定休日
年中無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3010376/
from,岩手県 盛岡市 南大通 1-1-21 ヒーロー南 1F,その他,,,,https://tabelog.com/iwate/A0301/A030101/3011622/
ファインキッズ 盛岡店,岩手県 盛岡市 高松 2-16-1,その他,,,,https://tabelog.com/iwate/A0301/A030101/3008508/
岩手県青少年会館,岩手県 盛岡市 みたけ 3-38-20,ホテル,"営業時間
チェックイン16:00 チェックアウト翌9:00
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0302/A030203/3006984/
まごころ弁当 盛岡本店,岩手県 盛岡市 東安庭 1-2-27,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010186/
パルクアベニューカワトク,岩手県 盛岡市 菜園 1-10-1,その他,"営業時間
【B1F、1F、6F、7F】
10:00～19:00
【2F、3F、4F、5F、8F】
10:00～18:30
日曜営業
定休日
無休(年始のみ休み)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009549/
デイリーヤマザキ 盛岡南インター店,岩手県 盛岡市 永井 13地割字中村24-1,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",4席,,https://tabelog.com/iwate/A0301/A030101/3008509/
カラオケ時遊館 盛岡駅前店,岩手県 盛岡市 盛岡駅前通 9-2 ステーションサイド甚ビル 4F,カラオケ、その他,"営業時間
月 14:00-25:00
火 14:00-25:00
水 14:00-25:00
木 14:00-25:00
金 14:00-29:00
土 12:00-29:00
日 12:00-25:00
祝日 12:00-25:00
祝前日 14:00-29:00
※祝前日、祝日、大型連休、年末年始等は料金・営業時間が変則的になる場合がございます。
※詳細は店舗までお問い合わせ下さい。
定休日
※年中無休　",147席,,https://tabelog.com/iwate/A0301/A030101/3006936/
