Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL,Status,Scraped Date
Lexus RX 350 Premium,Lexus,RX 350,2024,JTJCHMAA5R2015581,,Used,53165,,https://images.autotrader.com/hn/c/fff3fe42e1eb4636a99324dc9d30daf4.jpg,"Interiorcolor = [Interior Color: Unavail]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 29 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 820]",820,RX350|Premium,Eminent White Pearl,SUV,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22,29,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/712258723,,2024-04-19 123946
Lexus RX 350 Premium,Lexus,RX 350,2023,2T2BAMBA5PC009386,,Used,52950,51225.0,https://images.autotrader.com/hn/c/20becd23ba1a4966910e8f3ce98d2c01.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 29 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 6,519]","6,519",RX350|Premium,Eminent White Pearl,SUV,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22,29,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/712440588,Good,2024-04-19 123946
Lexus RX 350 Premium,Lexus,RX 350,2023,JTJCHMAA2P2007256,,Used,52950,50852.0,https://images.autotrader.com/hn/c/f2c5f529c0bf4e84b6b9d094f20c2cf6.jpg,"Interiorcolor = [Interior Color: Unavail]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 29 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 6,306]","6,306",RX350|Premium,Caviar,SUV,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22,29,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/712440591,Good,2024-04-19 123946
Lexus RX 350 Premium,Lexus,RX 350,2023,JTJCHMAA0P2006526,,Used,52950,50507.0,https://images.autotrader.com/hn/c/73c2d8c2278b40659a53aa6f29cfcaef.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 29 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 9,480]","9,480",RX350|Premium,Iridium,SUV,Gasoline,4-Cylinder Turbo,2 wheel drive - front,22,29,,Lexus of Lakeway,Lakeway,TX,78734,,5126434250,https://www.autotrader.com/cars-for-sale/vehicle/712440590,Good,2024-04-19 123946
Lexus RX 350 AWD,Lexus,RX 350,2023,2T2BAMCA0PC024179,,Used,50985,52881.0,https://images.autotrader.com/hn/c/c2da7f38ad1d4d73890861352505b871.jpg,"Interiorcolor = [Interior Color: Unavail]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Silver]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 21 City / 28 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 10,531]","10,531",RX350|UNAVAIL,Silver,SUV,Gasoline,4-Cylinder Turbo,All wheel drive,21,28,,Fresno Lexus,Fresno,CA,93704,4.9,5592141932,https://www.autotrader.com/cars-for-sale/vehicle/710100192,Great,2024-04-19 123946
Audi RS 7 Sportback,Audi,RS 7,2021,WUAPCBF25MN905968,,Used,86609,91638.0,https://images.autotrader.com/hn/c/e840eb33dbd64878a17e9272894c3054.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 22 Highway]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 19,982]","19,982",AUDIRS7|UNAVAIL,Nardo Gray,HATCH,Gasoline,8-Cylinder Turbo,All wheel drive,15,22,,Park Cities Chrysler Dodge Jeep RAM Fiat,Dallas,TX,75235,5.0,9726379062,https://www.autotrader.com/cars-for-sale/vehicle/705989448,Great,2024-04-19 123946
Audi R8 V8,Audi,R8,2009,WUAAU34289N001437,,Used,69995,,https://images.autotrader.com/hn/c/4615c6afbbc24472816e36ff439be74a.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 13 City / 18 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 21,842]","21,842",R8|V8,Black,COUPE,Gasoline,8-Cylinder,All wheel drive,13,18,,Avon Auto Brokers Highline Superstores,Avon,MA,02322,4.7,18443141743,https://www.autotrader.com/cars-for-sale/vehicle/705324512,,2024-04-19 123946
BMW M3 Competition w/ M Carbon Exterior Package,BMW,M3,2024,WBS33AY02RFR99982,,Used,82500,,https://images.autotrader.com/hn/c/3ba9dfeb26384e3e80d00ac102a21bda.jpg,"Interiorcolor = [Interior Color: Beige]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 16 City / 23 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 1,700]","1,700",M3|Competition,Brooklyn Gray Metallic,SEDAN,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,16,23,,Lake Norman Chrysler Dodge Jeep Ram,Cornelius,NC,28031,4.3,7048972956,https://www.autotrader.com/cars-for-sale/vehicle/706511208,,2024-04-19 123946
Bentley Continental GT V8,Bentley,Continental,2023,SCBDG4ZG3PC005211,,Used,299995,,https://images.autotrader.com/hn/c/f962800b11134ee08889cac935aa7c6d.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Unavail]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 22 Highway]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 361]",361,BENCONT|GT V8,Ice Metallic,CONVERT,Gasoline,8-Cylinder Turbo,All wheel drive,15,22,,O'Gara Coach San Diego,La Jolla,CA,92037,4.5,8582833929,https://www.autotrader.com/cars-for-sale/vehicle/705884067,,2024-04-19 123946
MAZDA CX-90 3.3 Turbo w/ Premium Package,MAZDA,CX-90,2024,JM3KKDHD7R1107790,,Certified,51419,,https://images.autotrader.com/pictures/atc_upload/565x421_2024MazdaCX90.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Red]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 24 City / 28 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 4,534]","4,534",MAZCX90|UNAVAIL,Red,SUV,Gasoline,6-Cylinder Turbo,All wheel drive,24,28,,Team Mazda,Caldwell,ID,83605,4.2,,https://www.autotrader.com/cars-for-sale/vehicle/703455138,,2024-04-19 123946
MAZDA CX-9 Carbon Edition,MAZDA,CX-9,2023,JM3TCBDY3P0633576,,Used,38481,35181.0,https://images.autotrader.com/hn/c/3315db339dcb4584b66919e708a21834.jpg,"Interiorcolor = [Interior Color: Red]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 20 City / 26 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 12,633]","12,633",CX-9|Carbon Edition,Polymetal Gray Metallic,SUV,Gasoline,4-Cylinder Turbo,All wheel drive,20,26,,Mazda Of Amarillo,Amarillo,TX,79110,4.3,8066465727,https://www.autotrader.com/cars-for-sale/vehicle/710671063,,2024-04-19 123946
MAZDA CX-5 AWD 2.5 S,MAZDA,CX-5,2023,JM3KFBCM0P0102420,,Certified,35420,30145.0,https://images.autotrader.com/pictures/model_info/chrome_angularfront_trm/color/white/640/cc_2022MAS060002_01_640_41W.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 24 City / 30 Highway]
Engine = [Engine: 4-Cylinder]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 18,095]","18,095",CX-5|UNAVAIL,Gray,SUV,Gasoline,4-Cylinder,All wheel drive,24,30,,Team Mazda,Caldwell,ID,83605,4.2,,https://www.autotrader.com/cars-for-sale/vehicle/700893264,,2024-04-19 123946
MAZDA CX-5 2.5 Turbo w/ Premium Package,MAZDA,CX-5,2024,JM3KFBDYXR0368516,,Used,32999,,https://images.autotrader.com/hn/c/803e52b9869e4212bf85fbb9c5d17249.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 22 City / 27 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 2,843]","2,843",CX-5|UNAVAIL,Black,SUV,Gasoline,4-Cylinder Turbo,All wheel drive,22,27,,Denton Mazda,Denton,TX,76210,4.9,9403040456,https://www.autotrader.com/cars-for-sale/vehicle/699091954,,2024-04-19 123946
MAZDA CX-9 Carbon Edition,MAZDA,CX-9,2021,JM3TCBDY3M0519315,,Certified,32990,28308.0,https://images.autotrader.com/hn/c/6e60176823114f19a5354eb422d99f0d.jpg,"Interiorcolor = [Interior Color: Red]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 20 City / 26 Highway]
Engine = [Engine: 4-Cylinder Turbo]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 48,217]","48,217",CX-9|Carbon Edition,Polymetal Gray,SUV,Gasoline,4-Cylinder Turbo,All wheel drive,20,26,,Classic Mazda,Mentor,OH,44060,5.0,4408904767,https://www.autotrader.com/cars-for-sale/vehicle/699970890,,2024-04-19 123946
Maserati MC20 Coupe,Maserati,MC20,2023,ZAMBMRAB9P0425854,,Used,204000,,https://images.autotrader.com/hn/c/c747e97ebb1845e683e77c591bb47475.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Red]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 25 Highway]
Engine = [Engine: 6-Cylinder Turbo]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 1,742]","1,742",MASMC20|UNAVAIL,Rosso   Vincente,COUPE,Gasoline,6-Cylinder Turbo,2 wheel drive - rear,15,25,,Carhaven,Millersville,MD,21108,,4433431039,https://www.autotrader.com/cars-for-sale/vehicle/711032254,,2024-04-19 123946
Cadillac Escalade Premium Luxury,Cadillac,Escalade,2022,1GYS3BKL6NR361202,,Used,76990,73831.0,https://images.autotrader.com/hn/c/3bcbeb593a8e4e7fb5a9abb2a17f95aa.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 14 City / 19 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 37,463]","37,463",ESCALA|Premium Luxury,Crystal White Tricoat,SUV,Gasoline,8-Cylinder,2 wheel drive - rear,14,19,,Sheehan Cadillac LLC,Pompano Beach,FL,33064,4.6,9549472504,https://www.autotrader.com/cars-for-sale/vehicle/710376168,Good,2024-04-19 123946
Chevrolet Corvette Stingray Preferred Cpe w/ Z51 Performance Package,Chevrolet,Corvette,2021,1G1YB2D43M5106420,,Used,81775,74042.0,https://images.autotrader.com/hn/c/0ecdefb6e654451c9e1dc9f031c57752.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 8-Speed Automatic]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 15 City / 27 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Rear]
Mileage = [Miles: 4,223]","4,223",CORV|UNAVAIL,Shadow Gray Metallic,COUPE,Gasoline,8-Cylinder,2 wheel drive - rear,15,27,,Audi Lexington,Lexington,KY,40509,4.4,8598104662,https://www.autotrader.com/cars-for-sale/vehicle/709954245,,2024-04-19 123946
Mercury Milan Premier,Mercury,Milan,2009,3MEHM02169R621249,,Used,7452,6846.0,https://images.autotrader.com/hn/c/f9d802a7a47a4e6299bd86879309425b.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 6-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 17 City / 25 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: All Wheel Drive]
Mileage = [Miles: 90,115]","90,115",MILAN|Premier,White,SEDAN,Gasoline,6-Cylinder,All wheel drive,17,25,,Baierl Acura,Wexford,PA,15090,4.9,8783325963,https://www.autotrader.com/cars-for-sale/vehicle/712135603,Good,2024-04-19 123946
Chrysler Pacifica Limited w/ Uconnect Theater Family Group,Chrysler,Pacifica,2022,2C4RC1GG2NR100895,,Used,38995,36680.0,,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 9-Speed Automatic]
Color = [Exterior Color: Red]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 19 City / 28 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 28,363]","28,363",PACIFICA|Limited,Velvet Red Pearlcoat,VANS,Gasoline,6-Cylinder,2 wheel drive - front,19,28,,Linwood,Paducah,KY,42001,4.2,2703667290,https://www.autotrader.com/cars-for-sale/vehicle/712421402,Good,2024-04-19 123946
Chrysler Pacifica Limited,Chrysler,Pacifica,2022,2C4RC1GG3NR140838,,Used,35899,36972.0,https://images.autotrader.com/hn/c/98e27cc019aa40da894e39de5bdcf438.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 9-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 19 City / 28 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 27,187]","27,187",PACIFICA|Limited,Bright White Clearcoat,VANS,Gasoline,6-Cylinder,2 wheel drive - front,19,28,,SouthWest Chrysler Dodge Jeep RAM,Cleburne,TX,76033,4.7,6822440190,https://www.autotrader.com/cars-for-sale/vehicle/709938436,Great,2024-04-19 123946
Chrysler Pacifica Limited w/ S Appearance Package,Chrysler,Pacifica,2021,2C4RC1S78MR522045,,Certified,33989,41038.0,https://images.autotrader.com/hn/c/6c5f7f20246f4fde915c7a603d683802.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 32 EV Mile Range]
Transmission = [Transmission: Continuously Variable Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Hybrid gas/electric]
Engine = [Engine: Hybrid]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Evrange = [EV RANGE: 32 EV Mile Range]
Mileage = [Miles: 16,834]","16,834",PACIFICA|Limited,Bright White Clearcoat,VANS,Hybrid Gas/Electric,Hybrid,2 wheel drive - front,,,,CR Chrysler Dodge Jeep RAM,Adrian,MI,49221,4.9,5173664361,https://www.autotrader.com/cars-for-sale/vehicle/711914955,Great,2024-04-19 123946
Chrysler Pacifica Limited,Chrysler,Pacifica,2022,2C4RC1GG2NR199511,,Certified,33000,36638.0,https://images.autotrader.com/hn/c/4ead3acf209047118b59e480d0bd57f3.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: 9-Speed Automatic]
Color = [Exterior Color: Blue]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 19 City / 28 Highway]
Engine = [Engine: 6-Cylinder]
Drivetype = [Drive Type: 2 Wheel Drive - Front]
Mileage = [Miles: 34,438]","34,438",PACIFICA|Limited,Fathom Blue Pearlcoat,VANS,Gasoline,6-Cylinder,2 wheel drive - front,19,28,,Lake Norman Chrysler Dodge Jeep Ram,Cornelius,NC,28031,4.3,7048972956,https://www.autotrader.com/cars-for-sale/vehicle/708308611,Great,2024-04-19 123946
