Part No,Question,Answer,Url
316542414,Will this  with fcrg3052asa,"No, use 316542416.",https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will these  with frigidaire model number ffgf3054tsd?,"No, the correct Conversion kit needed is part# GRLP4",https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will this kit  with frigidaire model plcs389ecd?,"No, use 318186909.",https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Is this product  with frigidaire model ffgh3054us,yes will fit,https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will it fit a lggf3043kfr ?,LGGF3043KFR Conversion Kit for this model would be item GRLP4,https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will this  for model number ffgf3054tse?,"No, use GRLP4.",https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will this fit electolux model ew36gc556s1?,the correct lp conversion kit is Manufacturer #318127436 thank you.,https://www.amazon.com/dp/B00PU0QAQ8/
316542414,Will this  on a gcrg3038af stove?,"No, use kit part # GRLP4 .",https://www.amazon.com/dp/B00PU0QAQ8/
316543907,Is it suitable to fggf 3045rfc gas range? thanks,Yes. perfect.,https://www.amazon.com/dp/B011P2DJT0/
316543909,What Firigdaire gas sovetop model does this fit?,"I could only find a partial list. If you give us your model, we can check if this fits. Here",https://www.amazon.com/dp/B00M25BUCI/
316543918,"I might buy this knob(316543918) need to know what size diameter shaft it will fit on oven, thank you",Just check your old part with the description of the same item on the Amazon app and decide if it’s,https://www.amazon.com/dp/B00PU1SJ6G/
316545300,Will this  on ffgf3023lbc,This part will on your model be sure you have the screws sometimes they are not with part. Good Luck!,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this  on ffgf3023lbc,This part will on your model be sure you have the screws sometimes they are not with part. Good Luck!,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this  on model ffef3054tb- bl ?,Will this part for FFEF30181B,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this fit magic chef model # 31100PAW?,use WP2411F013-70,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this part  on model ffef3054tbf?,OEM Part - Manufacturer #5304522046 this one matches your model,https://www.amazon.com/dp/B00MHII07S/
316545300,Will oven handle fit model #316433603,"Not sure, it is universal.",https://www.amazon.com/dp/B00MHII07S/
316545300,Will this  for Ffef3054tbg?,No. Try item number 5304522046,https://www.amazon.com/dp/B00MHII07S/
316545300, Will this fit model l # ffef3016tsd ?,use 5304520635,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this  on model number ffgf3023lbe? ,Yes OEM Part - Manufacturer #316545300 fits the above model..,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this fit oven model #ffef30527bb? ,OEM Part - Manufacturer #5304522046 You had a wrong model # it is ffef3052tbb,https://www.amazon.com/dp/B00MHII07S/
316545300,Is this handle  with model # fef366dce  ??,"No, use 316270200.",https://www.amazon.com/dp/B00MHII07S/
316545300,Will this part  on model merm752bas?,no need part #74011777,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this  for model ffef3051tba?,yes will fit,https://www.amazon.com/dp/B00MHII07S/
316545300,Will this fit frigidaire model fges3045kba?,"The length on this handle is 29 inches. Measure your broken handle, if available. If not available, measure the distance",https://www.amazon.com/dp/B00MHII07S/
316545300,Will this part  on Maytag model # merl752baw?,no need part #74011777,https://www.amazon.com/dp/B00MHII07S/
316545301,is this item about 29 inches long and is for a frigidaire glasstop range?,I used it for a Kenmore (which I think is made by Frigidaire) gas range. Pretty sure they are all,https://www.amazon.com/dp/B00ECV5LKM/
316545301,is this item about 29 inches long and is for a frigidaire glasstop range?,I used it for a Kenmore (which I think is made by Frigidaire) gas range. Pretty sure they are all,https://www.amazon.com/dp/B00ECV5LKM/
316545301,Will this  with model cfef3054uw?,I don;t know.,https://www.amazon.com/dp/B00ECV5LKM/
316545301,What is the difference to 316544501? Will it ?,I don't mind once in a while,https://www.amazon.com/dp/B00ECV5LKM/
316545301,Does this fit model number 970-060020? ,It's likely generic and may require some. Handyman skill to make it . This was what I was faced with.,https://www.amazon.com/dp/B00ECV5LKM/
316546300,Will this  for model fggf305mkfn? it’s a frigidaire gallery with effortless oven rack system. thanks!,It will fit but it bent the 1st time I used it.,https://www.amazon.com/dp/B00LXAQ9OW/
316555800,Would this fit Kenmore model 95587?.  Thank you,I found this to be a perfect fit and easy install...but it did not . Switch tested ok with VOM.,https://www.amazon.com/dp/B0CFF8M27K/
316555800,Would this fit Kenmore model 95587?.  Thank you,I found this to be a perfect fit and easy install...but it did not . Switch tested ok with VOM.,https://www.amazon.com/dp/B0CFF8M27K/
316555800,what is product  and is wiring  diagram included,On my installation I had to splice a wire to make it longer because the terminals were not in the,https://www.amazon.com/dp/B0CFF8M27K/
316555800,Will this  for my front left frigidaire pglef385cs3?,"Yes, it perfectly",https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this  for my front left frigidaire pglef385cs3?,"Yes, it perfectly",https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this replace the left front dual element for my kenmore c970-657932?,It did not on mine,https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this  on frigidaire fef369cgsc?   ,yes will,https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this  for my front right frigidaire cfef369ach?,YES WILL,https://www.amazon.com/dp/B00M25EN2C/
316555800,Can this part be replaceable with Kenmore cooktop part # 318198932 or Kenmore part # 316555800? Thank you.,Sorry I don't have any idea .. I used it to replace one on my Frigidaire Stove ....,https://www.amazon.com/dp/B00M25EN2C/
316555800,Hi i brought this part for my fridgidaire ffef3024rsa. i installed it according to the original wiring. only the inner circle heats. can you help?,Does your range have the dual radiant element? (just the smaller inner portion as a single element or both inner,https://www.amazon.com/dp/B00M25EN2C/
316555800,Would anyone know if this will fit/ on kenmore elite 79099013102? Thanks,Do not know. The maker changed the connection sequence so it wouldn't fit my stove. Had to hire local technician,https://www.amazon.com/dp/B00M25EN2C/
316555800,Is this to replace a dual element?,Yes. The hook up is a little different for the replacement. There are little numbers on the receptacle that will,https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this replace a 316418400 burner on my frigidaire ples389aca?,"Have no idea, sorry",https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this  in a Maytag stove?,Yes,https://www.amazon.com/dp/B00M25EN2C/
316555800,Will this  on a kenmore C970-648432 left side ,No it is to big in diameter 11.5 in.,https://www.amazon.com/dp/B00M25EN2C/
316555800,"Looking for a 9 inch replacement stove top part, would this  for a 9 inch? Or what size is it?","The one I got was 11"" across not the same as the 9"" plugs.",https://www.amazon.com/dp/B00M25EN2C/
316555800,I have a frigidaire model # fefl67gca serial # vf73783010 will this dual element fit this model?,Is very good perfect..,https://www.amazon.com/dp/B07V2PRZVL/
316555800,I have a frigidaire model # fefl67gca serial # vf73783010 will this dual element fit this model?,Is very good perfect..,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Is it  with lg mee62385201,"No, those are two different part numbers and they are not or interchangeable.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,does this  for kenmore 790.98063006  right front ?,It for the 790 model I have but I have a different model number.,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Will this  on model 790.92309013?,Hello. This part number is one of the elements listed on file for your Model. KO Supplying Demand,https://www.amazon.com/dp/B07V2PRZVL/
316555800,I have a Kenmore  model #79096627900 will part # 316555800  for the front left side?,Ok,https://www.amazon.com/dp/B07V2PRZVL/
316555800,How about part number 316418401 for a Kenmore model 790?,"316418401 updates to 316555800, so this will work for your model. But, pay attention to the wiring on the existing",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Does it  for a frigidaire model fefl88aca?,"First off, are you sure it's the actual burner and not the swith/potentiometer that is burnt out? This device has",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Will this  on a jen air mod.no jes99oobas,Hello. This Model number does not pull up a parts list in our systems :( Sending good vibes✌ Customer Support,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Will this  for 790.94473802?,"No, this element is not with your model. The element part numbers for your model are 318178110, 316216703, 316530001, 316211603,",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Is this  with Samsung models ,Dint know,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Is this the same as a WP8523047?  with a kenmore 66595014102? ,"No, this element is not with your model. They are two different part numbers and they are not or interchangeable.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,This is  with plefmz99eca,"Yes, this is with your model.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,:Is this  for kitchenaid model# kecc502gbl4?,"No, the element for your model is W10823692.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Is this will fit for that model wfe520s0fso? w11517959. if not do you have the right one for me?,"No, this element is not with your model. They are two different part numbers and they are not or interchangeable.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Will this  for part wb30t10155 ge model jb87osf1ss?,"Go to the manufacturer web site for the appliance and look up their part number, see if it is listed",https://www.amazon.com/dp/B07V2PRZVL/
316555800,I have a Kenmore Elite model # 790.96629700 would this be the correct part for the left front?,"Yes, this is compatible with your model and is the correct burner for either the left front or left right.",https://www.amazon.com/dp/B07V2PRZVL/
316555800,Will this  on a frigidaire dual burner model number : fef368gsa ?,Hello. This element is the dual element listed on file for your Model. KO Supplying Demand,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Looking for fes365eba but don't see it on the list.  is this ?,Hello. This part number is not listed on file for your Model. KO Supplying Demand,https://www.amazon.com/dp/B07V2PRZVL/
316555800,Correct front right dual element for fpef4085kfb?,The Dual Element on file for Model FPEF4085KFB is Part Number 318198933.,https://www.amazon.com/dp/B07V2PRZVL/
316555800,is it  with maytag stove model ymer8700dh1. thnx ,as a replacement for 318178000. Frididaire FED387CFBE,https://www.amazon.com/dp/B07V2PRZVL/
316555800,I have a Whirpool ceramic top stove model GJ8646XD. Does this burner fit my stove? Is it ?,"That I don’t know, but the one I did purchase, was not with my oven and the return/refund was very",https://www.amazon.com/dp/B0B74S6CVC/
316555800,"Will this  with whirlpool model rf362lxts3 part number wp8523047? thanks,",Is ok,https://www.amazon.com/dp/B08FKKH8SB/
316555800,"Will this  with whirlpool model rf362lxts3 part number wp8523047? thanks,",Is ok,https://www.amazon.com/dp/B08FKKH8SB/
316555800,Will this  with Kenmore 790.99013102?,This for Kenmore,https://www.amazon.com/dp/B08FKKH8SB/
316555800,Will this  on maytag mer5752baw,No you need part link below https://www.amazon.com/Primeco-W10823711- -Manufacturer-PS11764915-1/dp/B086JDLG71/ref=mp_s_a_1_2?dchild=1&keywords=W10823711&qid=1608170321&sr=8-2,https://www.amazon.com/dp/B08FKKH8SB/
316555800,Will this  for a lg model no. lrel6321s,No this wont fit you need item in the link below Please note that this is dual element and 9,https://www.amazon.com/dp/B08FKKH8SB/
316555800,"Hi, does it fit for kitchen aid ykess907ss00? thanks!",I used it to replace a surface element in my old Kenmore Range. very well. However not sure if it’s,https://www.amazon.com/dp/B08FKKH8SB/
316555800,Does this element  for maytag mer6875bcs17 glass top stove?  mine broken one looks almost identical?,"no This will not fit, you need part number WPW10259005 instead",https://www.amazon.com/dp/B08FKKH8SB/
316555800, will this  on my frigidaire  model -fefl67dck ?,"Hi, Thanks for reaching out to us. No, this Element will not be with your model number. The Surface Element",https://www.amazon.com/dp/B07B4MLM1K/
316555800, will this  on my frigidaire  model -fefl67dck ?,"Hi, Thanks for reaching out to us. No, this Element will not be with your model number. The Surface Element",https://www.amazon.com/dp/B07B4MLM1K/
316555800,Will this replace a 316418400 burner on my frigidaire ples389aca?,This will not replace it. The terminals are different.,https://www.amazon.com/dp/B07B4MLM1K/
316555800,"Greetings, will this  on my frigidaire gallery fed367cesc? thanks","HI, Thanks for reaching out to us. No, this Element is not with your model number. If you contact us",https://www.amazon.com/dp/B07B4MLM1K/
316555800,Does this fit Kenmore 790.95661102 ?,"Hello, After doing a model lookup, we found that the surface element part number 316555800 is with your unit. Thank",https://www.amazon.com/dp/B07B4MLM1K/
316555800,will this fit my frigidair ffef3043lsb?,Hello Thank you for your inquiry. We have looked into the model number you provided and the replacement part you,https://www.amazon.com/dp/B07B4MLM1K/
316555800,Does this fit kenmore? model#790.95322300,You need 316224200 and 316010205.,https://www.amazon.com/dp/B07B4MLM1K/
316557107,Will this part  on a frigidaire electric smooth top range model fef366ab/ cb?,Sears parts direct has a different Part number that is required for that particular model given in your question. For,https://www.amazon.com/dp/B00M25EYF8/
316557118,will this  with Frigidaire FGF366CC?,great,https://www.amazon.com/dp/B00E0CWKMK/
316557118,will this  with Frigidaire FGF366CC?,great,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  on kenmoer 79046991103? ,It on my Kenmore please read some of my previous post about this part,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  on my fed367cebb,It did not for ours. The button pattern is not correct.,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this replace part number 316207511,Yes it .,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  frigidaire fgfb66ecc?,Yes mine,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  on a kenmore 79095882300? Sears says i need part number 316207502 but this oulls up and has the same components.,"Im not really a technician, but in my opinion as long as the functions are the same it should ,",https://www.amazon.com/dp/B00E0CWKMK/
316557118,will this part fit a frigidaire model fgfl79gsc?,Do not,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this part  for kenmore 7909421240c?,It on my kenmoore,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  with fgs365esg?,Yes excellent Good product,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Does it replace Kenmore part 316207502,Did not,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Is this part  with Frigidaire cfef3048lsm ?,"Hello, Yes , this part is with Frigidaire stoves and it is easy to change or install . Regards Ahmed",https://www.amazon.com/dp/B00E0CWKMK/
316557118,Is it  with frigidaire oven cpes389ac3 ? thanks.,"I have Frigidaire Model #CFEF3050LSD Serial # VR03531664. It is about eight years old, has chrome trim and black glass",https://www.amazon.com/dp/B00E0CWKMK/
316557118,Is this  with Frigidaire 316233812?,"Sorry , but I don't know. I can tell you that it doesn't on my Kenmore, which it was supposed",https://www.amazon.com/dp/B00E0CWKMK/
316557118,Is this part  with model# cfef355fcd?,"I don't know. I bought it and it was supposed to work on my Kenmore stove but it didn't, so",https://www.amazon.com/dp/B00E0CWKMK/
316557118,Will this  with frigidaire model cfef372as1?,My stove is a kenmore and I was told this is the part that would fix it but it doesn't.,https://www.amazon.com/dp/B00E0CWKMK/
316557118,will this  for frigidaire cfef372as1?,"Really don't know about your number. I wrote my number, i bought that even if it was a bit different,",https://www.amazon.com/dp/B00E0CWKMK/
316557118,Does it  for Kenmore 316630005,It on my kenmore but buttons are configured differently so now I've ordered the proper(frigidaire) overlay.,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Does it  for Kenmore C970-655821 ?,Wouldn't on my Kenmore propane kitchen stove. I can't remember the number but it gave this Frigidaire number as a,https://www.amazon.com/dp/B00E0CWKMK/
316557118,"Model # cgef3032m, will this control ",I was told this is the part that I needed to get my kitchen stove and I bought it. It,https://www.amazon.com/dp/B00E0CWKMK/
316557118,Is it returnable if it turns out to not  with my oven model?,I don't know if it is returnable. Most electronic things are not returnable. I couldn't be bothered to take it,https://www.amazon.com/dp/B00E0CWKMK/
316557206,Is this circuit board for model number GLEFZ 384 GCA,It looks like the one I replaced for my stove. I went to a Frigidaire replacement parts site got the,https://www.amazon.com/dp/B00M25F39O/
316557211,Does this  with kenmore model 79077462802 ?,yes,https://www.amazon.com/dp/B00LGURCC2/
316557230,Will it  with model no. 316557217?,the correct replacement for 316557217 is 5304509231. 316557217 has been discontinued.,https://www.amazon.com/dp/B00M25F3BM/
316557230,Will it  with model no. 316557217?,the correct replacement for 316557217 is 5304509231. 316557217 has been discontinued.,https://www.amazon.com/dp/B00M25F3BM/
316557230,Will this  with model # lfef3019mbf?,"No, use 5304510064",https://www.amazon.com/dp/B00M25F3BM/
316557230,will this  with a 790-75503?,"I don't know. My suggestion would be to take your part off and it to this first. It is returnable,",https://www.amazon.com/dp/B004XUOF8Q/
316557230,will this  with a 790-75503?,"I don't know. My suggestion would be to take your part off and it to this first. It is returnable,",https://www.amazon.com/dp/B004XUOF8Q/
316557230,"will this fir a 970-687420 ? 30""  kenmore",This one will not . The correct one for your model is 316462802.,https://www.amazon.com/dp/B004XUOF8Q/
316557230,is it for kenmore stove with model number 79072903015 serial number Vf 31852415,"Mya mommy, the part number you have is the correct number for your range. I would also suggest getting part",https://www.amazon.com/dp/B004XUOF8Q/
316557230,"What is the n/p of the control board for model fef336bcl, and do you have.?  its the frigidaire kitchen",This is not the correct control board for model provided. You would need Frigidaire OEM Part #5304518660.,https://www.amazon.com/dp/B004XUOF8Q/
316557230,What is the p/n of the control board for a model# jds8860bdp17 jenn-air?,Part number recommended is WP8507P334-60.,https://www.amazon.com/dp/B004XUOF8Q/
316557230,Is this part  with a Kenmore Model #: 79046699700?,no your board 318296809,https://www.amazon.com/dp/B004XUOF8Q/
316557230,this is good for range model no 79094193311,no you need 316630003,https://www.amazon.com/dp/B004XUOF8Q/
316557237,Does it  for frigidaire oven 316106132,Ours was on a Kenmore. We had to take a photo of the part and searched till we found the,https://www.amazon.com/dp/B00M25F3IK/
316557245,Is this  with model 79074133311?,I looked it up and model 79074133311 is a gas range. This oven control board is for an electric range,https://www.amazon.com/dp/B072YRRR5N/
316559300,Bought Frigidaire gas range with a center burner that is round but it has an oval lift outline. Will this part  to swap it out? ,"Did this for you? If so, what model do you have? I am thinking I would like to do the",https://www.amazon.com/dp/B00YH3C42I/
316559300,Bought Frigidaire gas range with a center burner that is round but it has an oval lift outline. Will this part  to swap it out? ,"Did this for you? If so, what model do you have? I am thinking I would like to do the",https://www.amazon.com/dp/B00YH3C42I/
316559300,Will this fit the ffgh3054us?,It will work but you will have to install a different control valve (behind the knob) to allow enough gas,https://www.amazon.com/dp/B00YH3C42I/
316559300,Will this part  on ffgf3054ts gas range ?,by Frigidaire Part Number AP4394545 2 screws by Frigidaire Part Number AP4433330 BURNER These are the part numbers you need,https://www.amazon.com/dp/B00YH3C42I/
316559604,Is this cap required or will the burner  without this part?,burners do not without caps,https://www.amazon.com/dp/B00OTOM3RQ/
316560118,Fggf3054mfg. will this ? where do i find a list of  models?,The listing you are looking at is a replacement to what you are needing.,https://www.amazon.com/dp/B00LHRBG3A/
316560118,Fggf3054mfg. will this ? where do i find a list of  models?,The listing you are looking at is a replacement to what you are needing.,https://www.amazon.com/dp/B00LHRBG3A/
316560118,Does this  with frigidare stove fggf3058rf ?,YES WILL,https://www.amazon.com/dp/B00LHRBG3A/
316560118,"""Will this  with model frigidaire fggf3054mfj """,This with a ffgf3054mfh,https://www.amazon.com/dp/B00LHRBG3A/
316560118,I need one of these exact ones but with a double line break relay (k1). Can anyone post a link to it? I can't find it.,This isn't our listing. Please send us direct email with the full model and serial of your unit so we,https://www.amazon.com/dp/B00LHRBG3A/
316560118,Why is the double line break relay (K1) missing on the circuit board?,You probably bought wrong board. I thought I had the right board based on description but had to return and,https://www.amazon.com/dp/B00LHRBG3A/
316560118,"My control board is 316560117, and needs to be replaced, can any body tell me if the 316560118 is ? ","No, it is not. The correct replacement control board is 5304495521.",https://www.amazon.com/dp/B00LHRBG3A/
316560118,Will it fit Fggf3058rfc?,"This is not our listing. I am unable to access their database. However, I can confirm this part is with",https://www.amazon.com/dp/B00LHRBG3A/
316560118,Will this fit model kseg950ess2,"According to your parts list, you are in need of W11105615. This is something that we do not carry.",https://www.amazon.com/dp/B00LHRBG3A/
316560118,Does this replace the board for a Kenmore? Part 316650011,"I don't know, mine is Whirlpool",https://www.amazon.com/dp/B00LHRBG3A/
316560127,"Refridaire, model plgfz397gcf.will it fix??",This perfectly.,https://www.amazon.com/dp/B00E005DNK/
316560127,"Refridaire, model plgfz397gcf.will it fix??",This perfectly.,https://www.amazon.com/dp/B00E005DNK/
316560127,Will this  for a Kenmore?  Part#316560127,It perfectly for our Kenmore,https://www.amazon.com/dp/B00E005DNK/
316560127,Will this control board  with a Kenmore 790.97453803 oven?,YES WILL,https://www.amazon.com/dp/B00E005DNK/
316560127,will this control board  on a kenmore range model #79092803016?,yes will,https://www.amazon.com/dp/B00E005DNK/
316560127,Will this part  for kenmore 79092802011,I have a Kenmore oven and my son ordered this because I couldn't get the oven to . I'm not,https://www.amazon.com/dp/B00E005DNK/
316560127,Will this  for a fridgidaire fggf3054mff?,"No, use 316560118.",https://www.amazon.com/dp/B00E005DNK/
316560127,Will this  for my kenmore 665.72173302,No. The correct control board for your model is part# WP8523876,https://www.amazon.com/dp/B00E005DNK/
316560127,Would this  on the frigidaire oven model #fggf3054mfc?,no need part # 316560118,https://www.amazon.com/dp/B00E005DNK/
316560127,Will this part  with frigidaire model  # fgdf4085tsa,No this will not.,https://www.amazon.com/dp/B00E005DNK/
