Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "Arizona|AZ", Dealer Name: "Larry H. Miller Chrysler Jeep Dodge Ram Surprise" has 108 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PHOENIX, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "B & N Auto Sales" has no vehicles
State: "Arizona|AZ", Dealer Name: "Jim Click Dodge" has 91 vehicles
State: "Arizona|AZ", Dealer Name: "HAYS TRAILER SALES TUCSON" has 72 vehicles
State: "Arizona|AZ", Dealer Name: "Arrow Truck Sales Phoenix" has no vehicles
State: "Arizona|AZ", Dealer Name: "Interstate Truck & Trailer" has 14 vehicles
State: "Arizona|AZ", Dealer Name: "American Trailer, LLC - Arizona" has 99 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - TUCSON, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PRESCOTT VALLEY, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Empire Truck and Trailer" has 69 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - YUMA, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - TEMPE, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PHOENIX, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Midway Fleet" has 346 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - CHANDLER, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Tucson Trux & Equipment Sales" has no vehicles
State: "Arizona|AZ", Dealer Name: "Corporate Auto Wholesale" has no vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - PHOENIX, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Ryder Used Trucks in Phoenix" has no vehicles
State: "Arizona|AZ", Dealer Name: "Peoria Ford" has 412 vehicles
State: "Arizona|AZ", Dealer Name: "RWC International" has 23 vehicles
State: "Arizona|AZ", Dealer Name: "Findlay Bullhead City" has 67 vehicles
State: "Arizona|AZ", Dealer Name: "PENSKE USED TRUCKS - TEMPE, AZ" has no vehicles
State: "Arizona|AZ", Dealer Name: "Larry H. Miller Ford Mesa" has 71 vehicles
State: "Arizona|AZ", Dealer Name: "Diversified Truck & Equipment" has 64 vehicles
State: "Arizona|AZ", Dealer Name: "Arizona Commercial Truck Sales" has no vehicles


 State Arizona|AZ, has Total Vehicles : 4537


Total No of Dealers: "20" exists in the state : "Arkansas|AR"

State: "Arkansas|AR", Dealer Name: "T & B Auto Sales" has no vehicles
State: "Arkansas|AR", Dealer Name: "Red River Dodge Chrysler Jeep LLC" has 264 vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - LITTLE ROCK, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "Schneider National - West Memphis" has no vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - OZARK, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "O'brien Transportation Inc" has no vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - LOWELL, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - FORREST CITY, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "Rush Truck Centers - Lowell" has 46 vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - HOT SPRINGS, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "Premier Trailer Sales" has 69 vehicles
State: "Arkansas|AR", Dealer Name: "MHC Kenworth - Little Rock" has 22 vehicles
State: "Arkansas|AR", Dealer Name: "Rush Truck Centers - North Little Rock" has 31 vehicles
State: "Arkansas|AR", Dealer Name: "MCLARTY DANIEL CHRYSLER DODGE JEEP RAM" has 96 vehicles
State: "Arkansas|AR", Dealer Name: "MHC Kenworth - Springdale" has 17 vehicles
State: "Arkansas|AR", Dealer Name: "Artex Truck Center" has 11 vehicles
State: "Arkansas|AR", Dealer Name: "Ryder Used Trucks in Little Rock" has no vehicles
State: "Arkansas|AR", Dealer Name: "PENSKE USED TRUCKS - FORT SMITH, AR" has no vehicles
State: "Arkansas|AR", Dealer Name: "Custom Truck One Source - Cabot II" has 1108 vehicles
State: "Arkansas|AR", Dealer Name: "TLG Peterbilt of NW Arkansas" has no vehicles


 State Arkansas|AR, has Total Vehicles : 1664


Total No of Dealers: "267" exists in the state : "California|CA"

State: "California|CA", Dealer Name: "Best Auto Sales Inc." has no vehicles
State: "California|CA", Dealer Name: "Paradise Chevrolet" has 363 vehicles
State: "California|CA", Dealer Name: "Sunrise Ford" has 60 vehicles
State: "California|CA", Dealer Name: "North American Trailer" has 21 vehicles
State: "California|CA", Dealer Name: "Victory Chrysler Jeep Dodge" has 99 vehicles
State: "California|CA", Dealer Name: "Crown Dodge Chrysler Jeep" has 253 vehicles
State: "California|CA", Dealer Name: "McPeek'S Dodge Of Anaheim" has 460 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - RICHMOND, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - TRACY, CA" has no vehicles
State: "California|CA", Dealer Name: "Rio Vista Chevrolet" has 229 vehicles
State: "California|CA", Dealer Name: "Ben Kaplan Equipment" has no vehicles
State: "California|CA", Dealer Name: "Ken Grody Ford - Buena Park" has 320 vehicles
State: "California|CA", Dealer Name: "Enterprise Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "Salinas Valley Ford Truck Center" has 79 vehicles
State: "California|CA", Dealer Name: "Courtesy Chevrolet Center" has 195 vehicles
State: "California|CA", Dealer Name: "Fremont Chevrolet" has 56 vehicles
State: "California|CA", Dealer Name: "Simpson Chevrolet" has 225 vehicles
State: "California|CA", Dealer Name: "Hemborg Ford Inc. Big Truck" has 69 vehicles
State: "California|CA", Dealer Name: "Big Valley Ford" has 315 vehicles
State: "California|CA", Dealer Name: "Fremont Ford" has 101 vehicles
State: "California|CA", Dealer Name: "American Chevrolet" has 271 vehicles
State: "California|CA", Dealer Name: "Silveira Chevrolet" has 135 vehicles
State: "California|CA", Dealer Name: "My Chevrolet" has 182 vehicles
State: "California|CA", Dealer Name: "Folsom Chevrolet" has 121 vehicles
State: "California|CA", Dealer Name: "Ron DuPratt Ford" has 258 vehicles
State: "California|CA", Dealer Name: "Future Ford of Roseville" has 338 vehicles
State: "California|CA", Dealer Name: "Roseville Chevrolet" has 318 vehicles
State: "California|CA", Dealer Name: "Price Ford of Simi Valley" has 70 vehicles
State: "California|CA", Dealer Name: "Donahue Truck Center" has 15 vehicles
State: "California|CA", Dealer Name: "BIG TRUCK & Equipment Sales, LLC." has no vehicles
State: "California|CA", Dealer Name: "Future Chevrolet" has 179 vehicles
State: "California|CA", Dealer Name: "Penske Chevrolet Buick GMC" has 206 vehicles
State: "California|CA", Dealer Name: "Apex Cars" has no vehicles
State: "California|CA", Dealer Name: "Corning Ford" has 198 vehicles
State: "California|CA", Dealer Name: "Sunrise Ford - North Hollywood" has 160 vehicles
State: "California|CA", Dealer Name: "Arrow Truck Sales Fontana" has no vehicles
State: "California|CA", Dealer Name: "RED BLUFF CHRYSLER DODGE JEEP RAM" has 225 vehicles
State: "California|CA", Dealer Name: "Arrow Truck Sales Stockton" has no vehicles
State: "California|CA", Dealer Name: "Jim Manning Dodge Chrysler Jeep Ram" has 199 vehicles
State: "California|CA", Dealer Name: "PERRY CHRYSLER DODGE JEEP RAM OF NATIONAL CITY" has 29 vehicles
State: "California|CA", Dealer Name: "MULLAHEY CHRYSLER DODGE JEEP RAM" has 83 vehicles
State: "California|CA", Dealer Name: "Arrow Truck Sales Fresno" has no vehicles
State: "California|CA", Dealer Name: "Fritts Truck Center" has 121 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CORONA, CA" has no vehicles
State: "California|CA", Dealer Name: "Stoneridge Chrysler Jeep Dodge Ram" has 21 vehicles
State: "California|CA", Dealer Name: "AUTONATION CHRYSLER DODGE JEEP RAM VALENCIA" has 10 vehicles
State: "California|CA", Dealer Name: "Thorson GMC ISUZU" has 55 vehicles
State: "California|CA", Dealer Name: "Norm Reeves Ford Superstore" has 167 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - FONTANA, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - FRESNO, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - TORRANCE, CA" has no vehicles
State: "California|CA", Dealer Name: "Hansel Ford" has 95 vehicles
State: "California|CA", Dealer Name: "Silveira GMC" has 161 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - WEST SACRAMENTO, CA" has no vehicles
State: "California|CA", Dealer Name: "Future Ford of Sacramento" has 337 vehicles
State: "California|CA", Dealer Name: "Truck Depot" has no vehicles
State: "California|CA", Dealer Name: "Sierra Truck Center" has 126 vehicles
State: "California|CA", Dealer Name: "Fam Vans" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CARSON, CA" has no vehicles
State: "California|CA", Dealer Name: "Ry-Den Truck Center" has 30 vehicles
State: "California|CA", Dealer Name: "Freeway Isuzu" has 154 vehicles
State: "California|CA", Dealer Name: "Rotolo Chevrolet" has 67 vehicles
State: "California|CA", Dealer Name: "Ford Of Downtown LA" has 89 vehicles
State: "California|CA", Dealer Name: "Car Castle" has no vehicles
State: "California|CA", Dealer Name: "South Bay Ford" has 209 vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Fontana Medium Duty Trucks" has 85 vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Ceres (New)" has 85 vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Whittier New Trucks" has 350 vehicles
State: "California|CA", Dealer Name: "Hoblit RAM Commercial Truck Center" has 425 vehicles
State: "California|CA", Dealer Name: "Mercedes-Benz of Anaheim" has 78 vehicles
State: "California|CA", Dealer Name: "TEC Equipment-New Trucks-Fontana New Trucks" has 18 vehicles
State: "California|CA", Dealer Name: "Bob Stall Chevrolet" has 403 vehicles
State: "California|CA", Dealer Name: "TEC Equipment - La Mirada" has 23 vehicles
State: "California|CA", Dealer Name: "Commerce Truck & Equipment Sales" has 161 vehicles
State: "California|CA", Dealer Name: "Southern California Tow Equipment" has 57 vehicles
State: "California|CA", Dealer Name: "Covina Hills Chevrolet" has 9 vehicles
State: "California|CA", Dealer Name: "Santa Margarita Ford" has no vehicles
State: "California|CA", Dealer Name: "Kingsburg Truck Center" has 10 vehicles
State: "California|CA", Dealer Name: "Enterprise Commercial Trucks" has no vehicles
State: "California|CA", Dealer Name: "Tom’s Truck Center - Los Angeles" has 372 vehicles
State: "California|CA", Dealer Name: "Custom Truck One Source - Bakersfield" has 1107 vehicles
State: "California|CA", Dealer Name: "Mark Christopher Auto Group" has 101 vehicles
State: "California|CA", Dealer Name: "Ford of Long Beach" has 208 vehicles
State: "California|CA", Dealer Name: "Autonation Chrysler Dodge Jeep Ram of Roseville" has 88 vehicles
State: "California|CA", Dealer Name: "Ryder Used Trucks in Long Beach" has no vehicles
State: "California|CA", Dealer Name: "Ken Grody Ford - Carlsbad" has 243 vehicles
State: "California|CA", Dealer Name: "Walter's Mercedes-Benz of Riverside" has no vehicles
State: "California|CA", Dealer Name: "Aaron Ford of Escondido" has 112 vehicles
State: "California|CA", Dealer Name: "Aaron Ford of Poway" has 98 vehicles
State: "California|CA", Dealer Name: "Ken Grody Ford of Redlands" has 228 vehicles
State: "California|CA", Dealer Name: "Pacific Auto Center" has no vehicles
State: "California|CA", Dealer Name: "Aaron Chevrolet" has 264 vehicles
State: "California|CA", Dealer Name: "Victorville Chevrolet" has 191 vehicles
State: "California|CA", Dealer Name: "Sedano Ford" has 109 vehicles
State: "California|CA", Dealer Name: "Paradise Chevrolet" has 299 vehicles
State: "California|CA", Dealer Name: "Aaron Chrysler Dodge Jeep Ram" has 286 vehicles
State: "California|CA", Dealer Name: "Tuttle Click Ford" has 108 vehicles
State: "California|CA", Dealer Name: "MERCEDES-BENZ OF OXNARD" has 65 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - WOODLAND, CA" has no vehicles
State: "California|CA", Dealer Name: "North Valley Isuzu Trucks" has 27 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN FRANCISCO, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SACRAMENTO, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - ONTARIO, CA" has no vehicles
State: "California|CA", Dealer Name: "Pacific Auto Center Central Valley" has no vehicles
State: "California|CA", Dealer Name: "The Little Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "Pape Material Handling - Woodland" has 3 vehicles
State: "California|CA", Dealer Name: "Hauser Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "101 Trailer Sales" has no vehicles
State: "California|CA", Dealer Name: "RT Motors" has no vehicles
State: "California|CA", Dealer Name: "Nor Cal Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CHINO, CA" has no vehicles
State: "California|CA", Dealer Name: "Truck Body Sales Inc" has no vehicles
State: "California|CA", Dealer Name: "CAL PACIFIC TRUCK CENTER LLC" has 16 vehicles
State: "California|CA", Dealer Name: "LA MotorCars" has no vehicles
State: "California|CA", Dealer Name: "Quality Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "NV Truck Sales" has no vehicles
State: "California|CA", Dealer Name: "Fleet-pro.com" has 43 vehicles
State: "California|CA", Dealer Name: "Gibbs Truck Center" has 20 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - TULARE, CA" has no vehicles
State: "California|CA", Dealer Name: "Specialty Truck Parts Inc." has no vehicles
State: "California|CA", Dealer Name: "Scott Equipment Inc." has 9 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN DIEGO, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN DIEGO, CA" has no vehicles
State: "California|CA", Dealer Name: "McKinney Trailer Rentals" has no vehicles
State: "California|CA", Dealer Name: "Truxas Sales Inc" has 30 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - LIVERMORE, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SANTA MARIA, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SANTA ROSA, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - LOS ANGELES, CA" has no vehicles
State: "California|CA", Dealer Name: "McDonald Commercial Vehicles" has no vehicles
State: "California|CA", Dealer Name: "YEREVAN TRUCK & EQUIPMENT SALES" has no vehicles
State: "California|CA", Dealer Name: "Camino Real Chevrolet" has 27 vehicles
State: "California|CA", Dealer Name: "Refrigerated Truck Solutions" has no vehicles
State: "California|CA", Dealer Name: "Globe Truck Center" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN DIEGO, CA" has no vehicles
State: "California|CA", Dealer Name: "Western Truck Exchange" has 15 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CERES, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SUN VALLEY, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SANTA CLARA, CA" has no vehicles
State: "California|CA", Dealer Name: "Heacock Trailers and Accessories" has 43 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN MARCOS, CA" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - Ceres (Used)" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - GILROY, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - WOODLAND, CA" has no vehicles
State: "California|CA", Dealer Name: "United Truck Centers" has 38 vehicles
State: "California|CA", Dealer Name: "Velocity Truck Centers" has 27 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - TRACY, CA" has no vehicles
State: "California|CA", Dealer Name: "Monarch Truck Center" has 107 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - LA MIRADA, CA" has no vehicles
State: "California|CA", Dealer Name: "Fleets 101 Inc." has no vehicles
State: "California|CA", Dealer Name: "Thompson Electric" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - HAYWARD, CA" has no vehicles
State: "California|CA", Dealer Name: "Casanova Towing Equipment" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - LOS ANGELES, CA" has no vehicles
State: "California|CA", Dealer Name: "FJM Truck & Trailer Center Wholesale IMT" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - MIRA LOMA, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - DIXON, CA" has no vehicles
State: "California|CA", Dealer Name: "Autonation Ford Valencia" has 15 vehicles
State: "California|CA", Dealer Name: "Cannon Carpet Cleaning" has no vehicles
State: "California|CA", Dealer Name: "Hbr Truck sales inc" has no vehicles
State: "California|CA", Dealer Name: "North American Trailer - NorCal" has 21 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CITY OF INDUSTRY, CA" has no vehicles
State: "California|CA", Dealer Name: "Carson Trailer-Gardena" has 67 vehicles
State: "California|CA", Dealer Name: "C & M Motors Inc." has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - VENTURA, CA" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - WEST SACRAMENTO" has no vehicles
State: "California|CA", Dealer Name: "Modesto Toyota" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - CITY OF INDUSTRY, CA" has no vehicles
State: "California|CA", Dealer Name: "Rolling Stock Plus" has no vehicles
State: "California|CA", Dealer Name: "Boardwalk Auto Mall" has 6 vehicles
State: "California|CA", Dealer Name: "Vehicle Center" has no vehicles
State: "California|CA", Dealer Name: "Rush Truck Centers - San Diego" has 50 vehicles
State: "California|CA", Dealer Name: "The Trailer Specialist" has 212 vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SAN LEANDRO, CA" has no vehicles
State: "California|CA", Dealer Name: "Inland Kenworth-Fontana" has 21 vehicles
State: "California|CA", Dealer Name: "Huntington Beach Chrysler Dodge Ram" has 876 vehicles
State: "California|CA", Dealer Name: "At Your Service Auto Sales" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - RIVERSIDE, CA" has no vehicles
State: "California|CA", Dealer Name: "Motor City Auto Center" has 77 vehicles
State: "California|CA", Dealer Name: "Suppose U Drive Truck Rental Service and Leasing" has no vehicles
State: "California|CA", Dealer Name: "Haddad Dodge" has 176 vehicles
State: "California|CA", Dealer Name: "Genesis Fleet" has no vehicles
State: "California|CA", Dealer Name: "PENSKE USED TRUCKS - SANTA ANA, CA" has no vehicles
State: "California|CA", Dealer Name: "Golden State Truck Sales" has 1 vehicles
State: "California|CA", Dealer Name: "TCI Truck&Trailer Sales" has 9 vehicles
State: "California|CA", Dealer Name: "Theodore Robins Ford" has 11 vehicles
State: "California|CA", Dealer Name: "Crown Ford" has 14 vehicles
State: "California|CA", Dealer Name: "Envision Ford of Oxnard" has 9 vehicles
State: "California|CA", Dealer Name: "RWC Group - Huntington Park" has 198 vehicles
