Title,Make,Model,Year,Vin,Location,Condition,Price,Average Market Price,Main Image,Options,Mileage,Trim,Color,Body Type,Fuel Type,Engine,Drive Train,City Fuel Economy,Highway Fuel Economy,Combined Fuel Economy,Dealer Name,Dealer City,Dealer State,Dealer Zip,Dealer Rating,Dealer Phone,URL,Status,Scraped Date
GMC Hummer EV 3X,GMC,Hummer EV,2024,1GKB0RDC6RU100065,,Used,145995,,https://images.autotrader.com/hn/c/dd0e1386c9c243f4bc28737f0621a16f.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 314 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 314 EV Mile Range]
Mileage = [Miles: 910]",910,GMCHUMMER|3X,Moonshot Green Matte,SUV,Electric,Electric,4 wheel drive,,,,Ferman of Wesley Chapel,Lutz,FL,33559,4.6,8132791123,https://www.autotrader.com/cars-for-sale/vehicle/706959143,,2024-04-19 122958
"GMC Hummer EV 3X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT40DDAXRU101161,,Used,144995,,https://images.autotrader.com/hn/c/e0d47c978a1d44d2ac797de42666e4b7.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 1,623]","1,623",GMCHUMMER|3X,Interstellar White,TRUCKS,Electric,Electric,4 wheel drive,,,,Spur Ridge Holdings Llc,Beverly Hills,CA,90211,,4246004763,https://www.autotrader.com/cars-for-sale/vehicle/709199565,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEYXRF212192,,Used,144991,,https://images.autotrader.com/hn/c/c1200ea2e5b6412397c89ea6965fd5fe.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 2,140]","2,140",GMC3500PU|Denali Ultimate,Summit White,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Autoplex Express Houston,,,,,4699466191,https://www.autotrader.com/cars-for-sale/vehicle/707457067,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY9RF225158,,Used,139991,,https://images.autotrader.com/hn/c/0e5821ee23184a7bb77443719c74a742.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 371]",371,GMC3500PU|Denali Ultimate,Onyx Black,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Hurst Autoplex- San Antonio,,,,,6824520255,https://www.autotrader.com/cars-for-sale/vehicle/712357315,,2024-04-19 122958
GMC Sierra 2500 AT4 w/ AT4 Preferred Package,GMC,Sierra 2500,2022,1GT49PEY2NF322187,,Used,139900,70864.0,https://images.autotrader.com/hn/c/97495d9fefa546329090b6444dfab714.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 1,206]","1,206",GMCC25PU|AT4,Black,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Gulf Coast Exotic Auto LLC,Gulfport,MS,39507,4.5,2284003730,https://www.autotrader.com/cars-for-sale/vehicle/696865099,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDA2PU101289,,Used,139000,,https://assets.cai-media-management.com/ps-vehicle-media/86d9b736-464a-4621-baa5-6d7811a88026.jpg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 1,700]","1,700",GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,,MN,56001,,,https://www.autotrader.com/cars-for-sale/vehicle/695832263,,2024-04-19 122958
"GMC Hummer EV 3X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT10DDBXRU101009,,Used,138900,,https://images.autotrader.com/hn/c/534948a47cf041c2a32d18d670939ee3.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 1,700]","1,700",GMCHUMMER|3X,Void Black,TRUCKS,Electric,Electric,4 wheel drive,,,,Exotic Car Trader,,,,,7547555768,https://www.autotrader.com/cars-for-sale/vehicle/708428497,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY4RF312577,,Used,137991,,https://images.autotrader.com/hn/c/bf485b60cb2a4c23957e6b409a04e873.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 385]",385,GMC3500PU|Denali Ultimate,White Frost Tricoat,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Autoplex Express Houston,,,,,4699466191,https://www.autotrader.com/cars-for-sale/vehicle/709106804,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY1RF233108,,Used,135991,,https://images.autotrader.com/hn/c/5573c9c322e24f98b715f9b5768732a7.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 136]",136,GMC3500PU|Denali Ultimate,White Frost Tricoat,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Autoplex Express Houston,,,,,4699466191,https://www.autotrader.com/cars-for-sale/vehicle/706080866,,2024-04-19 122958
GMC Sierra 2500 Denali Ultimate,GMC,Sierra 2500,2024,1GT49XEY4RF223196,,Used,135000,,https://assets.cai-media-management.com/ps-vehicle-media/6656759c-9672-4469-9700-2c2e34a9d929.jpeg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 3,200]","3,200",GMCC25PU|Denali Ultimate,White,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Private Seller Exchange,,FL,32801,,,https://www.autotrader.com/cars-for-sale/vehicle/705783895,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDA5PU101674,,Used,134900,111696.0,https://assets.cai-media-management.com/ps-vehicle-media/947470ed-6f66-4b0a-8aa8-6dc0abf0a329.jpeg,"Interiorcolor = [Interior Color: White]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 75]",75,GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,Scottsdale,AZ,85255,,,https://www.autotrader.com/cars-for-sale/vehicle/711863686,,2024-04-19 122958
"GMC Hummer EV 3X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT10DDB2RU102820,,Used,131601,,https://images.autotrader.com/hn/c/2956172e86d74180a1c10296d502e4b5.jpg,"Interiorcolor = [Interior Color: Gray]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Gray]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 2,411]","2,411",GMCHUMMER|3X,Meteorite Metallic (Gray),TRUCKS,Electric,Electric,4 wheel drive,,,,Land Rover Alexandria,Alexandria,VA,22310,4.6,7036668120,https://www.autotrader.com/cars-for-sale/vehicle/711324623,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY2RF250774,,Used,130991,,https://images.autotrader.com/hn/c/c30f79d49deb4864b6bc27ca2f3c39f7.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Silver]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 248]",248,GMC3500PU|Denali Ultimate,Sterling Metallic,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Hurst Autoplex Mitsubishi,Hurst,TX,76053,4.8,6825090319,https://www.autotrader.com/cars-for-sale/vehicle/711881057,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY0RF133047,,Used,129995,,https://images.autotrader.com/hn/c/da7c395fc97f4a07a59a47164d4f5769.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Silver]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 11,875]","11,875",GMC3500PU|Denali Ultimate,Sterling Metallic,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Temecula Valley Buick GMC,Temecula,CA,92591,3.4,9512977944,https://www.autotrader.com/cars-for-sale/vehicle/705999280,,2024-04-19 122958
"GMC Hummer EV Edition 1 w/ LPO, Illumination Package",GMC,Hummer EV,2022,1GT40FDA9NU100833,,Used,129995,114294.0,https://images.autotrader.com/hn/c/6ce6d1e034d1403ba88acffbca1b2c59.jpg,"Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Unavail]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 258]",258,GMCHUMMER|Edition 1,Gaz,TRUCKS,Electric,Electric,4 wheel drive,,,,Alfa Romeo of Naples,Naples,FL,34104,4.6,2396104594,https://www.autotrader.com/cars-for-sale/vehicle/692857888,,2024-04-19 122958
"GMC Hummer EV 3X w/ LPO, Illumination Package",GMC,Hummer EV,2024,1GT40DDA8RU101112,,Used,129991,,https://images.autotrader.com/hn/c/1586647f53c7481e9388412fdd66a4f6.jpg,"Interiorcolor = [Interior Color: Unavail]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 2,001]","2,001",GMCHUMMER|3X,White,TRUCKS,Electric,Electric,4 wheel drive,,,,ABZ Motors,Houston,TX,77074,4.9,8329688551,https://www.autotrader.com/cars-for-sale/vehicle/710128646,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDA1PU100473,,Used,129988,114211.0,https://assets.cai-media-management.com/ps-vehicle-media/efaea8fa-b891-4ca7-9edf-b5b68ec88783.jpeg,"Interiorcolor = [Interior Color: Black]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 10]",10,GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,,FL,33131,,,https://www.autotrader.com/cars-for-sale/vehicle/697539154,,2024-04-19 122958
"GMC Hummer EV Edition 1 w/ LPO, Illumination Package",GMC,Hummer EV,2022,1GT40FDA5NU100697,,Used,129985,109668.0,https://images.autotrader.com/hn/c/009f3aa67c1642639d17da94d8f78c41.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 329 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 329 EV Mile Range]
Mileage = [Miles: 3,914]","3,914",GMCHUMMER|Edition 1,Interstellar White,TRUCKS,Electric,Electric,4 wheel drive,,,,Bill Walsh GM Superstore,Ottawa,IL,61350,4.3,8156655343,https://www.autotrader.com/cars-for-sale/vehicle/686908754,,2024-04-19 122958
GMC Hummer EV 3X,GMC,Hummer EV,2024,1GKB0RDC3RU100248,,Used,129980,,https://images.autotrader.com/hn/c/1d43135c045b4fcfbed5ea277270ed0e.jpg,"Interiorcolor = [Interior Color: Green]
Milerange = [Mile Range: 314 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 314 EV Mile Range]
Mileage = [Miles: 1,518]","1,518",GMCHUMMER|3X,Green,SUV,Electric,Electric,4 wheel drive,,,,Elite Autos LLC,Jonesboro,AR,72404,4.9,8703930167,https://www.autotrader.com/cars-for-sale/vehicle/705536159,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2023,1GT40FDA9PU100849,,Used,129900,109498.0,https://assets.cai-media-management.com/ps-vehicle-media/4bc2875e-4430-49f6-b11a-2a4c8baedf88.jpeg,"Interiorcolor = [Interior Color: White]
Milerange = [Mile Range: 381 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 381 EV Mile Range]
Mileage = [Miles: 2,290]","2,290",GMCHUMMER|Edition 1,White,TRUCKS,Electric,Electric,4 wheel drive,,,,Private Seller Exchange,Freeland,MI,48623,,,https://www.autotrader.com/cars-for-sale/vehicle/706739297,,2024-04-19 122958
GMC Hummer EV 3X,GMC,Hummer EV,2024,1GKB0RDC3RU100086,,Used,129800,,https://images.autotrader.com/hn/c/ab8dcb692f334606aad02c2a216fd5d5.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 314 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: Green]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 314 EV Mile Range]
Mileage = [Miles: 638]",638,GMCHUMMER|3X,Moonshot Green Matte,SUV,Electric,Electric,4 wheel drive,,,,RMR 4X4 LLC,Birmingham,AL,35233,4.7,2054387639,https://www.autotrader.com/cars-for-sale/vehicle/705090811,,2024-04-19 122958
GMC Hummer EV Edition 1,GMC,Hummer EV,2022,1GT40FDA4NU100979,,Used,129000,114342.0,https://images.autotrader.com/hn/c/3b6651bd93ae4b69b06edb203bfab606.jpg,"Interiorcolor = [Interior Color: Black]
Milerange = [Mile Range: 329 EV Mile Range]
Transmission = [Transmission: Single-Speed]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Electric]
Engine = [Engine: Electric]
Drivetype = [Drive Type: 4 Wheel Drive]
Range = [RANGE: 329 EV Mile Range]
Mileage = [Miles: 823]",823,GMCHUMMER|Edition 1,Interstellar White,TRUCKS,Electric,Electric,4 wheel drive,,,,Conley Buick GMC,Bradenton,FL,34207,4.4,9412130218,https://www.autotrader.com/cars-for-sale/vehicle/702481600,,2024-04-19 122958
GMC Sierra 3500 Denali Ultimate,GMC,Sierra 3500,2024,1GT49YEY3RF260228,,Used,127991,,https://images.autotrader.com/hn/c/fad65225663340b1b9118a9440fa8add.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Diesel]
Engine = [Engine: 8-Cylinder Turbo]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 1,243]","1,243",GMC3500PU|Denali Ultimate,Onyx Black,TRUCKS,Diesel,8-Cylinder Turbo,4 wheel drive,,,,Autoplex Express Austin,,,,,9453002063,https://www.autotrader.com/cars-for-sale/vehicle/708667584,,2024-04-19 122958
GMC Yukon Denali Ultimate,GMC,Yukon,2024,1GKS2EKL3RR181504,,Used,127991,,https://images.autotrader.com/hn/c/3b2434f05a0f44dba4033d9a5af1a9e7.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: Black]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 14 City / 18 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 1,129]","1,129",YUKON|Denali Ultimate,Onyx Black,SUV,Gasoline,8-Cylinder,4 wheel drive,14,18,,Hurst Autoplex Mitsubishi,Hurst,TX,76053,4.8,6825090319,https://www.autotrader.com/cars-for-sale/vehicle/711881058,,2024-04-19 122958
GMC Yukon Denali Ultimate,GMC,Yukon,2024,1GKS2EKL1RR184904,,Used,127991,,https://images.autotrader.com/hn/c/42c52286630b43a281089b7a549ace9d.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 14 City / 18 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 2,279]","2,279",YUKON|Denali Ultimate,White Frost Tricoat,SUV,Gasoline,8-Cylinder,4 wheel drive,14,18,,Hurst Autoplex Mitsubishi,Hurst,TX,76053,4.8,6825090319,https://www.autotrader.com/cars-for-sale/vehicle/711881067,,2024-04-19 122958
GMC Yukon XL Denali Ultimate,GMC,Yukon XL,2024,1GKS2KKL7RR128139,,Used,127991,,https://images.autotrader.com/hn/c/2c0eebafb402401082e74c5c8b0d3bf7.jpg,"Interiorcolor = [Interior Color: Brown]
Transmission = [Transmission: 10-Speed Automatic]
Color = [Exterior Color: White]
Fueltype = [Fuel Type: Gasoline]
Mpg = [MPG: 14 City / 18 Highway]
Engine = [Engine: 8-Cylinder]
Drivetype = [Drive Type: 4 Wheel Drive]
Mileage = [Miles: 3,012]","3,012",YUKONXL|Denali Ultimate,White Frost Tricoat,SUV,Gasoline,8-Cylinder,4 wheel drive,14,18,,Lewisville Mitsubishi,Lewisville,TX,75067,4.9,4694965756,https://www.autotrader.com/cars-for-sale/vehicle/709543122,,2024-04-19 122958
