State Name,City Name,Store Name,Store Address,Store Phone Number,Store Email,Store Instagram Account URL,Store Details Page URL
Oklahoma,Muskogee,Rosebuds Cannabis Co - Muskogee,"1111 North York Street, Muskogee, Oklahoma 74403",(918) 913-7175,info@officialrosebuds.com,,https://weedmaps.com/dispensaries/rosebuds-cannabis-co-2#details
Illinois,Aurora,nuEra Aurora,"1415 Corporate Blvd, Aurora, Illinois 60502",(331) 301-5606,aurora@nueracannabis.com,https://www.instagram.com/nueraaurora/,https://weedmaps.com/dispensaries/nuera-aurora#details
Oklahoma,Muskogee,Kush Gardens - Muskogee,"2604 Chandler Rd, Muskogee, Oklahoma 74403",(539) 239-2002,kgmuskogee@kushgardensusa.com,,https://weedmaps.com/dispensaries/kush-gardens-muskogee#details
Illinois,Lombard,Zen Leaf Lombard,"783 Butterfield Rd, Lombard, Illinois 60148",(630) 716-2517,lombard@zenleafdispensaries.com,https://www.instagram.com/zenleafdispensaries/,https://weedmaps.com/dispensaries/zen-leaf-lombard#details
Florida,Spring Hill,AYR Cannabis Dispensary Spring Hill,"2356 Commercial Way, Spring Hill, Florida 34606",(352) 820-3111,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-spring-hill#details
Illinois,Chicago,Green Care Medical,"2412 Ogden Ave, Chicago, Illinois 60608",(708) 966-3030,info@greencaremedical.com,https://www.instagram.com/greencaremedical102/,https://weedmaps.com/doctors/green-care-medical-10#details
Ohio,Fremont,Terrasana Dispensaries - Fremont,"1800 E State St, Fremont, Ohio 43420",(419) 463-2703,Emilie@terrasanacannabisco.com,https://www.instagram.com/terrasanacc/,https://weedmaps.com/dispensaries/terrasana-dispensaries-fremont#details
Illinois,Chicago,Zen Leaf Pilsen,"1301 S Western Ave, Chicago, Illinois 60608",(618) 900-0936,support@zenleafdispensaries.com,https://www.instagram.com/zenleafdispensaries/,https://weedmaps.com/dispensaries/zen-leaf-pilsen#details
Florida,Brooksville,West Coast Musculoskeletal Institute,"14555 Cortez Blvd, Brooksville, Florida 34613",(352) 556-4823,customerservice@weedmaps.com,,https://weedmaps.com/doctors/west-coast-musculoskeletal-institute#details
Ohio,Fayette,My Marijuana Card (Formerly Athena Certification Center),"110 W. Main St, Fayette, Ohio 43521",(419) 237-7119,info@mymarijuanacards.com,https://www.instagram.com/ohiomymj_/,https://weedmaps.com/doctors/athena-certification-center-3#details
Michigan,Camden,Dispo Camden,"107 N Main St, Camden, Michigan 49323",(517) 797-4447,camden@disposhops.com,https://www.instagram.com/dispo.camden/,https://weedmaps.com/dispensaries/dispo-camden#details
Florida,Brooksville,Trulieve - Brooksville,"14099 Cortez Blvd, Brooksville, Florida 34613",(352) 631-6575,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-brooksville#details
Oklahoma,MUSKOGEE,Green Nation #1,"3450 E. SHAWNEE RD, MUSKOGEE, Oklahoma 74401",(918) 537-2050,gndispensaries@gmail.com,https://www.instagram.com/greennationmuskogee/,https://weedmaps.com/dispensaries/green-nation-dispensary-1#details
Michigan,Camden,Pinnacle Emporium - Camden,"421 S Main St, Camden, Michigan 49232",(517) 797-4007,pc@pinnaclecanna.com,https://www.instagram.com/pinnacle_emporium_/,https://weedmaps.com/dispensaries/pinnacle-emporium-kamden-1#details
Florida,Brooksville,New Age Medical Centers,"12142 Cortez Blvd., Brooksville, Florida 34613",(352) 596-9095,newagemedicalcenters@gmail.com,,https://weedmaps.com/doctors/new-age-medical-centers#details
Illinois,Hinsdale,Green Care Medical,"911 North Elm Street Suite 328, Hinsdale, Illinois 60521",(708) 966-3030,info@greencaremedical.com,https://www.instagram.com/greencaremedical102/,https://weedmaps.com/doctors/green-care-medical-8d725429-d374-49d7-8926-28f230ba1ada#details
Illinois,Riverside,Star Buds Riverside,"2704 S Harlem Ave, Riverside, Illinois 60546",(708) 853-9640,basseljoudeh@starbuds.us,https://www.instagram.com/star_buds_il1/,https://weedmaps.com/dispensaries/star-buds-riverside#details
Illinois,Naperville,Zen Leaf Naperville,"1516 N Naper Blvd, Naperville, Illinois 60563",(630) 634-8543,naperville@zenleafdispensaries.com,https://www.instagram.com/zenleafdispensaries/,https://weedmaps.com/dispensaries/zen-leaf-naperville#details
Illinois,Westmont,Curaleaf - Westmont,"11 East Ogden Avenue, Westmont, Illinois 60559",(630) 796-0715,info.il@curaleaf.com,https://www.instagram.com/curaleaf.usa,https://weedmaps.com/dispensaries/curaleaf-westmont#details
Michigan,Constantine,The Dude Abides - Constantine,"160 N. Washington St., Constantine, Michigan 49042",(269) 241-9333,thedude@rollingwiththedude.com,,https://weedmaps.com/dispensaries/the-dude-abides-provisioning-center#details
Michigan,Constantine,Atlas Cannabis Co.,"135 S Washington St, Constantine, Michigan 49042",(269) 435-1123,gillian@atlascannabisco.com,https://instagram.com/atlascannabismi,https://weedmaps.com/dispensaries/atlas-cannabis-co#details
Ohio,Bowling Green,Zen Leaf Bowling Green,"1155 N Main St, Bowling Green, Ohio 43402",(419) 500-9455,support@zenleafdispensaries.com,,https://weedmaps.com/dispensaries/zen-leaf-bowling-green#details
Illinois,Naperville,RISE Dispensaries Naperville,"1700 Quincy Ave., Suite 103, Naperville, Illinois 60540",(630) 369-4000,Naperville@risecannabis.com,https://www.instagram.com/risedispensariesillinois/,https://weedmaps.com/dispensaries/rise-naperville-recreational#details
Oklahoma,Vinita,Oklahoma Medical Garden,"441608 hwy 28, Vinita, Oklahoma 74301",(918) 953-9020,okmedicalgarden@gmail.com,,https://weedmaps.com/dispensaries/oklahoma-medical-garden#details
Illinois,Aurora,Zen Leaf Aurora,"740 Illinois Route 59, Aurora, Illinois 60504",(331) 212-8846,aurora@zenleafdispensaries.com,https://www.instagram.com/zenleafdispensaries,https://weedmaps.com/dispensaries/zen-leaf-aurora#details
Michigan,Sturgis,Timber Cannabis Co - Sturgis,"618 North Centerville Street, Sturgis, Michigan 49091",(269) 503-7009,hello@stashventures.com,https://www.instagram.com/timbercanna/,https://weedmaps.com/dispensaries/timber-cannabis-co-surgis#details
Florida,Lady Lake,MÜV Dispensary Lady Lake,"929 US-441 Hwy, Rolling Oaks Professional Park, Ste 202, Lady Lake, Florida 32159",(833) 880-5420,support@muvbrand.com,,https://weedmaps.com/dispensaries/muv-dispensary-lady-lake#details
Illinois,Naperville,Sunnyside Cannabis Dispensary – Naperville,"2740 W 75th St., Naperville, Illinois 60564",(630) 884-8061,listings@sunnyside.shop,https://www.instagram.com/sunnyside.dispensary,https://weedmaps.com/dispensaries/sunnyside-cannabis-dispensary-naperville#details
Michigan,Sturgis,Levels Cannabis,"1139 S Centerville Rd, Sturgis, Michigan 49091",(269) 625-9010,SturgisManagement@EnjoyLevels.com,https://www.instagram.com/levelsmichigan,https://weedmaps.com/dispensaries/levels-cannabis-3#details
Illinois,Chicago,Green Care Medical,"5780 S. Archer Ave. Suite BD, Chicago, Illinois 60632",(708) 966-3030,info@greencaremedical.com,https://www.instagram.com/greencaremedical102/,https://weedmaps.com/doctors/green-care-medical-7#details
Michigan,Sturgis,The Dude Abides - Sturgis,"1394 S. Centerville Road, Sturgis, Michigan 49091",(269) 241-3833,thedude@rollingwiththedude.com,,https://weedmaps.com/dispensaries/the-dude-abides-provisioning-center-sturgis#details
Florida,Wildwood,CannaMD - Marijuana Doctor,"4076 E. SR 44, Wildwood, Florida 34785",(855) 420-9170,info@cannamd.com,https://www.instagram.com/mycannamd/,https://weedmaps.com/doctors/cannamd-2#details
Illinois,Hodgkins,Namaste Cannabis & Wellness,"6119A East Ave, Hodgkins, Illinois 60525",(708) 402-4232,Roshanmpatel3@gmail.com,,https://weedmaps.com/dispensaries/namaste#details
Michigan,Sturgis,PUFF Sturgis - RECREATIONAL 21+,"651 Wade St, Sturgis, Michigan 49091",(269) 319-6028,Puffsturgis@gmail.com,https://www.instagram.com/PUFF.Lifestyles/,https://weedmaps.com/dispensaries/puff-cannabis-company-1#details
Michigan,Niles,Michigan Holistic Health of Niles,"1011 E. Main St. Suite 8, Niles, Michigan 49120",(855) 420-8100,ask@michiganholistichealth.com,,https://weedmaps.com/doctors/michigan-holistic-health-of-niles#details
Florida,Lady Lake,Curaleaf - Lady Lake,"Professional Park, 929 U.S. 27-441 Rolling Oaks, Suite 919, Lady Lake, Florida 32159",(352) 775-1550,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-lady-lake#details
Michigan,Buchanan,Pinnacle Emporium - Buchanan,"221 East Front Street, Buchanan, Michigan 49107",(269) 409-8571,buchanan@pinnaclecanna.com,https://www.instagram.com/pinnacle_emporium_/,https://weedmaps.com/dispensaries/pinnacle-emporium-2#details
Michigan,Buchanan,7ENGINES - Buchanan,"1101 E Front St, Buchanan, Michigan 49107",(269) 695-2122,info@my7engines.com,https://www.instagram.com/7engines_buchanan/,https://weedmaps.com/dispensaries/7engines-dispensary#details
Ohio,Dover,Alternative Medicinal Solutions / Dr. Charles Barrett,"844 Boulevard St, Dover, Ohio 44622",(330) 407-7688,dover420solutions@gmail.com,,https://weedmaps.com/doctors/alternative-medicinal-solutions-dr-charles-barrett#details
Oklahoma,Locust Grove,Chiefin Meds,"101 Holiday Ln, Locust Grove, Oklahoma 74352",(539) 206-2066,chiefinmeds@gmail.com,https://www.instagram.com/instagram/chiefin.meds/,https://weedmaps.com/dispensaries/chiefin-meds#details
Michigan,Niles,Firefly Cannabis,"919 Michigan St, Niles, Michigan 49120",(269) 247-2221,michaelfeldersellshomes@gmail.com,https://www.instagram.com/firefly_niles/,https://weedmaps.com/dispensaries/firefly-cannabis#details
Florida,The Villages,Medical Marijuana Treatment Clinics of Florida,"1050 Old Camp Road, Suite 202, The Villages, Florida 32162",(850) 906-5000,info@mmtcfl.com,https://www.instagram.com/mmtcfl/,https://weedmaps.com/doctors/medical-marijuana-treatment-clinics-of-florida-20#details
Michigan,Niles,Primitiv - Niles,"1286 S. 11th St., Niles, Michigan 49120",(269) 340-5318,info@primitivgroup.com,https://www.instagram.com/primitiv_group/,https://weedmaps.com/dispensaries/primitiv-niles#details
Florida,Lady Lake,Sunnyside Medical Cannabis Dispensary - Lady Lake,"415 US-441, Lady Lake, Florida 32159",(850) 462-4244,info@sunnyside.shop,https://www.instagram.com/sunnyside.dispensary/,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-lady-lake#details
Michigan,Edwardsburg,Dr. A's Re-Leaf Center - Edwardsburg,"26324 US HIGHWAY 12, Edwardsburg, Michigan 49112",(269) 414-4661,drasedwardsburg@gmail.com,http://instagram.com/draedwardsburg,https://weedmaps.com/dispensaries/dr-a-s-releaf-center#details
Michigan,Edwardsburg,NOBO - Edwardsburg,"69411 M62, Edwardsburg, Michigan 49112",(269) 635-6621,info@nobogoods.com,https://www.instagram.com/nobo.goods/,https://weedmaps.com/dispensaries/nobo#details
Ohio,New Philadelphia,Ratio Cannabis LLC,"1145 W High Ave, New Philadelphia, Ohio 44663",(234) 801-4282,Marcus@Ratio-Cannabis.com,https://www.instagram.com/ratio.cannabis/,https://weedmaps.com/dispensaries/ratio-cannabis-llc#details
Oklahoma,Langley,Cannatopia Grow Supply & Dispensary Langley,"446039 HWY 28, Langley, Oklahoma 74350",(918) 782-6524,mbitz@cannatopiaok.com,https://www.instagram.com/cannatopiadispensary/,https://weedmaps.com/dispensaries/cannatopia-langley#details
Illinois,Justice,Curaleaf - Justice,"8340 South Roberts Road, Justice, Illinois 60458",(708) 793-8100,info.il@curaleaf.com,https://www.instagram.com/curaleaf.usa,https://weedmaps.com/dispensaries/curaleaf-justice#details
Illinois,Justice,Green Care Medical,"8008 W. 84th Street, Justice, Illinois 60458",(708) 966-3030,info@greencaremedical.com,https://www.instagram.com/greencaremedical102/,https://weedmaps.com/doctors/green-care-medical-11#details
Oklahoma,Langley,Minerva Canna of Langley,"39026 S Highway 82, Langley, Oklahoma 74031",(918) 937-4500,Langley@minervacannaok.com,https://www.instagram.com/minervacanna_ok/,https://weedmaps.com/dispensaries/minerva-canna-2#details
Michigan,Three Oaks,HCC (Harbor Country Collective),"6761 US 12, Three Oaks, Michigan 49128",(269) 820-6055,info@harborcountrycollective.com,,https://weedmaps.com/dispensaries/harbor-country-collective#details
Illinois,Bolingbrook,Chicago Compassion Club,"105 n Canterbury Lane, Bolingbrook, Illinois 60440",(773) 906-5339,Caregiver@chicagocompassionclub.org,,https://weedmaps.com/doctors/chicago-compassion-club-1#details
Florida,The Villages,DocMJ,"13940 US-441 #902 (Oakland Hills Professional Center ), The Villages, Florida 32159",(888) 908-0143,info@docmj.com,https://www.instagram.com/floridadocmj/,https://weedmaps.com/doctors/docmj-dd7c8d58-1a60-44b7-9367-b5c31fdc62ba#details
Florida,Summerfield,Trulieve - Summerfield,"17950 US HWY 441, Summerfield, Florida 34491",(352) 290-5356,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-summerfield-1#details
Florida,The Villages,Trulieve - Lady Lake (The Villages),"13940 US-441 #601, The Villages, Florida 32159",(352) 240-3805,customerservice@trulieve.com,https://www.instagram.com/trulieve_/,https://weedmaps.com/dispensaries/trulieve-lady-lake-the-villages#details
Illinois,Chicago,Mission South Chicago,"8554 S Commercial Ave, Chicago, Illinois 60617",(773) 530-0088,missionsouthchicago@missioncan.com,https://www.instagram.com/mission.southchicago/,https://weedmaps.com/dispensaries/mission-il#details
Ohio,Bowling Green,Nectar - Bowling Green,"1011 S. Main Street, Bowling Green, Ohio 43402",(419) 819-4222,AskaBudtender@NectarMarkets.com,https://www.instagram.com/NectarMedDispensaryOhio /,https://weedmaps.com/dispensaries/nectar-4126#details
Michigan,New Buffalo,Rolling Embers,"19279 Kinst road, New Buffalo, Michigan 49117",(269) 546-0420,info@rolling-embers.com,https://www.instagram.com/rollingembers/,https://weedmaps.com/dispensaries/rollin-embers-1#details
Illinois,Romeoville,Verilife - Romeoville (Medical & Recreational),"1335 Lakeside Dr. Unit 4, Romeoville, Illinois 60446",(630) 359-3213,contact@verilife.com,https://www.instagram.com/verilifestores/,https://weedmaps.com/dispensaries/verilife-romeoville#details
Florida,Ocala,Dr Jay's Urgent Care,"2018 E Silver Springs Blvd, Ocala, Florida 34470",(352) 512-9301,Tina.drjaysurgentcare@yahoo.com,,https://weedmaps.com/doctors/dr-jay-s-urgent-care#details
Florida,Summerfield,Dr Bob’s Compassion Clinic,"17051 US Hwy 441, Summerfield, Florida 34491",(352) 601-4200,drbobgoethe@gmail.com,,https://weedmaps.com/doctors/dr-bob-s-compassion-clinic#details
Florida,Summerfield,AYR Cannabis Dispensary Summerfield,"16810 US-441 Suite 501, Summerfield, Florida 34491",(352) 307-2177,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/liberty-health-sciences-summerfield#details
Missouri,Clinton,Sunrise Cannabis Dispensary - Clinton,"2750 NW 7 HWY, Clinton, Missouri 64735",(314) 353-9817,steve@showmesunrise.com,,https://weedmaps.com/dispensaries/sunrise-cannabis-dispensary-clinton#details
Oklahoma,Miami,Fritz Fire House,"101 west Steve Owens, Miami, Oklahoma 74354",(918) 919-3458,fritzmmllc@gmail.com,https://www.instagram.com/fritzfirehouse/,https://weedmaps.com/dispensaries/fritz-fire-house#details
Texas,Mesquite,Your CBD Store - Mesquite,"3600 Gus Thomasson Rd. #118, Mesquite, Texas 75150",(972) 968-7223,test@test.com,,https://weedmaps.com/cbd-stores/your-cbd-store-mesquite#details
Oklahoma,Cartwright,Oklahoma's Best Cannabis,"316 Boat Club Rd, Cartwright, Oklahoma 74731",(580) 710-3024,info@oklahomasbest.cc,https://www.instagram.com/oklahomas.best.cannabis/,https://weedmaps.com/dispensaries/oklahoma-s-best-cannabis#details
Ohio,Cincinnati,Vital Balance LLC,"9902 Carver Rd, Cincinnati, Ohio 45242",(513) 394-2524,Vitalbalance@vitalbalancelife.com,,https://weedmaps.com/doctors/vital-balance-llc#details
Florida,Winter Haven,AYR Cannabis Dispensary Winter Haven (Cypress Gardens Blvd.),"6930 Cypress Gardens Blvd., Winter Haven, Florida 33884",(863) 292-7151,flsupport@ayrdispensaries.com,,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-winter-haven-cypress-gardens-blvd#details
Oklahoma,Miami,Koli Cannabis - Miami - Drive Thru,"225 E Steve Owens Blvd, Miami, Oklahoma 74354",(918) 544-8009,kolicannabis@gmail.com,https://www.instagram.com/kolicannabis/,https://weedmaps.com/dispensaries/koli-cannabis-miami#details
Illinois,Worth,Curaleaf - Worth,"11425 South Harlem Avenue, Worth, Illinois 60482",(708) 586-7600,info.il@curaleaf.com,https://www.instagram.com/curaleaf.usa,https://weedmaps.com/dispensaries/curaleaf-worth#details
Oklahoma,Miami,SoonerGlue OutLit,"1012 East Steve Owens Blvd, Miami, Oklahoma 74354",(918) 919-3523,sgoutlitmiami@gmail.com,https://www.instagram.com/soonerglue,https://weedmaps.com/dispensaries/higher-health-of-miami#details
Illinois,Palos Heights,Green Care Medical,"7300 West College Dr. Suite 105, Palos Heights, Illinois 60463",(708) 966-3030,info@greencaremedical.com,https://www.instagram.com/greencaremedical102/,https://weedmaps.com/doctors/green-care-medical#details
