Program ID,Program Name,Specialty,"Program City, State",Type of Program,Number of 1st Yr Positions,ERAS Participation,NRMP match,Program URL,Link to Overview,Link to Program Work Schedule,Link to Features Benefits
0400821030,Yale-New Haven Medical Center Program,Anesthesiology,"New Haven, CT", University-based , 22 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0400821030,,,
0401021032,MedStar Health/Georgetown University Hospital Program,Anesthesiology,"Washington, DC", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0401021032,,,
0401021033,George Washington University Program,Anesthesiology,"Washington, DC", University-based , 8 first year positions ,True,,https://freida.ama-assn.org/program/0401021033,,,
0401121035,University of Florida Program,Anesthesiology,"Gainesville, FL", University-based , 22 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401121035,,,
0401112204,University of Florida College of Medicine Jacksonville Program,Anesthesiology,"Jacksonville, FL", Community-based university affiliated , 4 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401112204,,,
0401113194,Mayo Clinic College of Medicine and Science (Jacksonville) Program,Anesthesiology,"Jacksonville, FL",, 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401113194,,,
0401121036,University of Miami/Jackson Health System Program,Anesthesiology,"Miami, FL", University-based , 31 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401121036,,,
0401100206,HCA Florida Healthcare/Kendall Hospital Program,Anesthesiology,"Miami, FL", Community-based university affiliated , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401100206,,,
0401100205,Mount Sinai Medical Center of Florida Inc Program,Anesthesiology,"Miami Beach, FL", Community-based university affiliated , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401100205,,,
0401100212,University of Central Florida/HCA Florida Healthcare (Ocala) Program,Anesthesiology,"Ocala, FL", Community-based university affiliated , 9 first year positions ,False,,https://freida.ama-assn.org/program/0401100212,,,
0401100215,Memorial Healthcare System (Hollywood Florida) Program,Anesthesiology,"Pembroke Pines, FL", Community-based university affiliated , 3 first year positions ,False,,https://freida.ama-assn.org/program/0401100215,,,
0401100001,HCA Florida Healthcare/Westside/Northwest Hospital Program,Anesthesiology,"Plantation, FL", Community-based , 6 first year positions ,True,,https://freida.ama-assn.org/program/0401100001,,,
0401100209,Cleveland Clinic Florida Program,Anesthesiology,"Weston, FL", Community-based , 5 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401100209,,,
0401221037,Emory University School of Medicine Program,Anesthesiology,"Atlanta, GA", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0401221037,,,
0401211038,Medical College of Georgia Program,Anesthesiology,"Augusta, GA", University-based , 12 first year positions ,True,,https://freida.ama-assn.org/program/0401211038,,,
0401821049,University of Iowa Hospitals and Clinics Program,Anesthesiology,"Iowa City, IA", University-based , 15 first year positions ,False,,https://freida.ama-assn.org/program/0401821049,,,
0401611041,University of Illinois College of Medicine at Chicago Program,Anesthesiology,"Chicago, IL", University-based , 11 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401611041,,,
0401611044,University of Chicago Program,Anesthesiology,"Chicago, IL", University-based , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401611044,,,
0401612039,Cook County Health and Hospitals System Program,Anesthesiology,"Chicago, IL", Community-based , 9 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401612039,,,
0401621040,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,Anesthesiology,"Chicago, IL", Community-based university affiliated , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401621040,,,
0401621042,McGaw Medical Center of Northwestern University Program,Anesthesiology,"Chicago, IL", University-based , 15 first year positions ,False,,https://freida.ama-assn.org/program/0401621042,,,
0401621043,Rush University Medical Center Program,Anesthesiology,"Chicago, IL", University-based , 16 first year positions ,False,,https://freida.ama-assn.org/program/0401621043,,,
0401611046,Loyola University Medical Center Program,Anesthesiology,"Maywood, IL", University-based , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401611046,,,
0401600001,University of Illinois College of Medicine at Peoria Program,Anesthesiology,"Peoria, IL", Community-based university affiliated ,,False,,https://freida.ama-assn.org/program/0401600001,,,
0401721048,Indiana University School of Medicine Program,Anesthesiology,"Indianapolis, IN", University-based , 28 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0401721048,,,
0401911050,University of Kansas School of Medicine Program,Anesthesiology,"Kansas City, KS", University-based , 11 first year positions ,True,,https://freida.ama-assn.org/program/0401911050,,,
0401922051,University of Kansas (Wichita) Program,Anesthesiology,"Wichita, KS", Community-based university affiliated , 5 first year positions ,True,,https://freida.ama-assn.org/program/0401922051,,,
0402021052,University of Kentucky College of Medicine Program,Anesthesiology,"Lexington, KY", University-based , 16 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402021052,,,
0402021053,University of Louisville School of Medicine Program,Anesthesiology,"Louisville, KY", University-based , 11 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402021053,,,
0402131199,Louisiana State University School of Medicine Program,Anesthesiology,"New Orleans, LA", University-based , 7 first year positions ,False,,https://freida.ama-assn.org/program/0402131199,,,
0402112055,Ochsner Clinic Foundation Program,Anesthesiology,"New Orleans, LA", Community-based , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402112055,,,
0402131168,Tulane University Program,Anesthesiology,"New Orleans, LA", University-based , 6 first year positions ,False,,https://freida.ama-assn.org/program/0402131168,,,
0402111056,Louisiana State University (Shreveport) Program,Anesthesiology,"Shreveport, LA", University-based , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402111056,,,
0402411060,Beth Israel Deaconess Medical Center Program,Anesthesiology,"Boston, MA", University-based , 16 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402411060,,,
0402421062,Boston University Medical Center Program,Anesthesiology,"Boston, MA", University-based , 8 first year positions ,True,,https://freida.ama-assn.org/program/0402421062,,,
0402421065,Tufts Medical Center Program,Anesthesiology,"Boston, MA", University-based , 10 first year positions ,False,,https://freida.ama-assn.org/program/0402421065,,,
0402421066,Mass General Brigham Program,Anesthesiology,"Boston, MA", Community-based university affiliated , 19 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402421066,,,
0402421067,St Elizabeth's Medical Center Program,Anesthesiology,"Boston, MA", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0402421067,,,
0402431064,Mass General Brigham Program,Anesthesiology,"Boston, MA", University-based , 29 first year positions ,False,,https://freida.ama-assn.org/program/0402431064,,,
7262444001,Children's Hospital Program,Pediatrics/Anesthesiology,"Boston, MA", University-based , 2 first year positions ,False,,https://freida.ama-assn.org/program/7262444001,,,
0402400071,Lahey Clinic Program,Anesthesiology,"Burlington, MA", Community-based university affiliated , 8 first year positions ,True,,https://freida.ama-assn.org/program/0402400071,,,
0402412069,Umass Chan-Baystate Program,Anesthesiology,"Springfield, MA", Community-based university affiliated , 9 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402412069,,,
0402431070,UMass Chan Medical School Program,Anesthesiology,"Worcester, MA", University-based , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402431070,,,
0402311059,University of Maryland Program,Anesthesiology,"Baltimore, MD", University-based , 8 first year positions ,False,,https://freida.ama-assn.org/program/0402311059,,,
0402321058,Johns Hopkins University Program,Anesthesiology,"Baltimore, MD", University-based , 25 first year positions ,False,,https://freida.ama-assn.org/program/0402321058,,,
7962300001,Johns Hopkins University School of Medicine Program,Emergency Medicine/Anesthesiology,"Baltimore, MD", University-based , 2 first year positions ,False,,https://freida.ama-assn.org/program/7962300001,,,
7262344003,Johns Hopkins University Program,Pediatrics/Anesthesiology,"Baltimore, MD", University-based , 2 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/7262344003,,,
0401021190,National Capital Consortium Program,Anesthesiology,"Bethesda, MD", Military-based ,,False,,https://freida.ama-assn.org/program/0401021190,,,
0402300001,TidalHealth Program,Anesthesiology,"Salisbury, MD", Community-based , 4 first year positions ,False,,https://freida.ama-assn.org/program/0402300001,,,
0402211057,Maine Medical Center Program,Anesthesiology,"Portland, ME", Community-based university affiliated , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402211057,,,
0402521071,University of Michigan Health System Program,Anesthesiology,"Ann Arbor, MI", University-based , 30 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402521071,,,
0402521185,Henry Ford Health/Henry Ford Hospital Program,Anesthesiology,"Detroit, MI", Community-based university affiliated , 12 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402521185,,,
0402531073,Detroit Medical Center/Wayne State University Program,Anesthesiology,"Detroit, MI", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0402531073,,,
0402500001,McLaren Health Care Corporation Program,Anesthesiology,"Flint, MI", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0402500001,,,
0402500208,McLaren Health Care/Greater Lansing/MSU Program,Anesthesiology,"Lansing, MI", Community-based university affiliated , 4 first year positions ,False,,https://freida.ama-assn.org/program/0402500208,,,
0402500206,Wayne State University School of Medicine Program,Anesthesiology,"Pontiac, MI", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0402500206,,,
0402500207,McLaren Health Care/Oakland/MSU Program,Anesthesiology,"Pontiac, MI", Community-based university affiliated , 3 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402500207,,,
0402513202,Corewell Health East Beaumont Beaumont (Royal Oak) Program,Anesthesiology,"Royal Oak, MI", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0402513202,,,
0402631075,University of Minnesota Program,Anesthesiology,"Minneapolis, MN", University-based , 10 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402631075,,,
0402621076,Mayo Clinic College of Medicine and Science (Rochester) Program,Anesthesiology,"Rochester, MN",, 18 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402621076,,,
0402811078,University of Missouri-Columbia Program,Anesthesiology,"Columbia, MO", University-based , 5 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402811078,,,
0402812080,University of Missouri-Kansas City School of Medicine Program,Anesthesiology,"Kansas City, MO", Community-based university affiliated , 8 first year positions ,True,,https://freida.ama-assn.org/program/0402812080,,,
0402811081,Washington University/B-JH/SLCH Consortium Program,Anesthesiology,"St Louis, MO", University-based , 22 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402811081,,,
0402821166,SSM Health/Saint Louis University School of Medicine Program,Anesthesiology,"St Louis, MO", University-based , 10 first year positions ,False,,https://freida.ama-assn.org/program/0402821166,,,
0402711077,University of Mississippi Medical Center Program,Anesthesiology,"Jackson, MS", University-based , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0402711077,,,
0403621114,University of North Carolina Hospitals Program,Anesthesiology,"Chapel Hill, NC", University-based , 14 first year positions ,True,,https://freida.ama-assn.org/program/0403621114,,,
7263644005,University of North Carolina Hospitals Program,Pediatrics/Anesthesiology,"Chapel Hill, NC", University-based , 1 first year positions ,False,,https://freida.ama-assn.org/program/7263644005,,,
0403631115,Duke University Hospital Program,Anesthesiology,"Durham, NC", University-based , 15 first year positions ,False,,https://freida.ama-assn.org/program/0403631115,,,
0403621116,Wake Forest University Baptist Medical Center Program,Anesthesiology,"Winston-Salem, NC", University-based , 14 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403621116,,,
0403011082,University of Nebraska Medical Center College of Medicine Program,Anesthesiology,"Omaha, NE", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0403011082,,,
0403211083,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Anesthesiology,"Lebanon, NH", University-based , 10 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403211083,,,
0403311195,Cooper Medical School of Rowan University/Cooper University Hospital Program,Anesthesiology,"Camden, NJ", University-based , 5 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403311195,,,
0403300196,Hackensack University Medical Center Program,Anesthesiology,"Hackensack, NJ", Community-based university affiliated , 4 first year positions ,True,,https://freida.ama-assn.org/program/0403300196,,,
0403300197,Jersey Shore University Medical Center Program,Anesthesiology,"Neptune City, NJ", Community-based ,,False,,https://freida.ama-assn.org/program/0403300197,,,
0403321180,Rutgers Health/Robert Wood Johnson Medical School Program,Anesthesiology,"New Brunswick, NJ", University-based , 12 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403321180,,,
0403321087,Rutgers Health/New Jersey Medical School Program,Anesthesiology,"Newark, NJ", Community-based university affiliated , 8 first year positions ,False,,https://freida.ama-assn.org/program/0403321087,,,
0403321089,St Joseph's University Medical Center Program,Anesthesiology,"Paterson, NJ", University-based , 8 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403321089,,,
0403421183,University of New Mexico School of Medicine Program,Anesthesiology,"Albuquerque, NM", University-based , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403421183,,,
0403100001,HCA Healthcare Sunrise Health GME/MountainView Program,Anesthesiology,"Las Vegas, NV", Community-based , 8 first year positions ,False,,https://freida.ama-assn.org/program/0403100001,,,
0403521167,Albany Medical Center Program,Anesthesiology,"Albany, NY", University-based , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521167,,,
0403500001,Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,Anesthesiology,"Bayshore, NY", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0403500001,,,
0403521181,Montefiore Medical Center/Albert Einstein College of Medicine Program,Anesthesiology,"Bronx, NY", University-based , 11 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521181,,,
0403511101,Maimonides Medical Center Program,Anesthesiology,"Brooklyn, NY", Community-based university affiliated , 11 first year positions ,False,,https://freida.ama-assn.org/program/0403511101,,,
0403511102,New York-Presbyterian Brooklyn Methodist Hospital Program,Anesthesiology,"Brooklyn, NY", Community-based university affiliated , 5 first year positions ,False,,https://freida.ama-assn.org/program/0403511102,,,
0403521110,SUNY Downstate Health Sciences University Program,Anesthesiology,"Brooklyn, NY", University-based , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521110,,,
0403521093,University at Buffalo Program,Anesthesiology,"Buffalo, NY", Community-based university affiliated , 12 first year positions ,False,,https://freida.ama-assn.org/program/0403521093,,,
0403500182,Zucker School of Medicine at Hofstra/Northwell Program,Anesthesiology,"New Hyde Park, NY", University-based , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403500182,,,
0403500184,New York Medical College at Metropolitan Hospital Program,Anesthesiology,"New York, NY", Community-based university affiliated , 5 first year positions ,False,,https://freida.ama-assn.org/program/0403500184,,,
0403511107,New York Presbyterian Hospital (Columbia Campus) Program,Anesthesiology,"New York, NY", University-based , 26 first year positions ,False,,https://freida.ama-assn.org/program/0403511107,,,
0403511108,Icahn School of Medicine at Mount Sinai/Morningside/West Program,Anesthesiology,"New York, NY", Community-based university affiliated , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403511108,,,
0403521098,New York Presbyterian Hospital (Cornell Campus) Program,Anesthesiology,"New York, NY", University-based , 20 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521098,,,
0403521104,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,Anesthesiology,"New York, NY", University-based , 26 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521104,,,
0403521106,NYU Grossman School of Medicine Program,Anesthesiology,"New York, NY", University-based , 36 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521106,,,
0403500183,Nuvance Health Program,Anesthesiology,"Poughkeepsie, NY", Community-based university affiliated , 6 first year positions ,True,,https://freida.ama-assn.org/program/0403500183,,,
0403511111,University of Rochester Program,Anesthesiology,"Rochester, NY", University-based , 19 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403511111,,,
0403521170,Stony Brook Medicine/University Hospital Program,Anesthesiology,"Stony Brook, NY", University-based , 12 first year positions ,False,,https://freida.ama-assn.org/program/0403521170,,,
0403521113,SUNY Upstate Medical University Program,Anesthesiology,"Syracuse, NY", University-based , 11 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521113,,,
0403521105,Westchester Medical Center Program,Anesthesiology,"Valhalla, NY", University-based , 13 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403521105,,,
0403821118,University of Cincinnati Medical Center/College of Medicine Program,Anesthesiology,"Cincinnati, OH", University-based , 10 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403821118,,,
0403821119,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,Anesthesiology,"Cleveland, OH", University-based , 16 first year positions ,True,,https://freida.ama-assn.org/program/0403821119,,,
0403821174,The MetroHealth System/Case Western Reserve University Program,Anesthesiology,"Cleveland, OH", University-based , 4 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403821174,,,
0403822120,Cleveland Clinic Foundation Program,Anesthesiology,"Cleveland, OH", Community-based university affiliated , 22 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403822120,,,
0403800175,OhioHealth/Doctors Hospital Program,Anesthesiology,"Columbus, OH", Community-based ,,False,,https://freida.ama-assn.org/program/0403800175,,,
0403811123,Ohio State University Hospital Program,Anesthesiology,"Columbus, OH", University-based , 16 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403811123,,,
0403800176,Kettering Health Network Program,Anesthesiology,"Dayton, OH", Community-based , 3 first year positions ,False,,https://freida.ama-assn.org/program/0403800176,,,
0403821125,University of Toledo Program,Anesthesiology,"Toledo, OH", University-based , 4 first year positions ,False,,https://freida.ama-assn.org/program/0403821125,,,
0403800177,Cleveland Clinic Foundation/South Pointe Hospital Program,Anesthesiology,"Warrensville Heights, OH", Community-based , 3 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0403800177,,,
0403921128,University of Oklahoma Health Sciences Center Program,Anesthesiology,"Oklahoma City, OK", University-based , 12 first year positions ,True,,https://freida.ama-assn.org/program/0403921128,,,
0403900129,Oklahoma State University Center for Health Sciences Program,Anesthesiology,"Tulsa, OK", University-based , 4 first year positions ,False,,https://freida.ama-assn.org/program/0403900129,,,
0404021129,Oregon Health & Science University (OHSU Health) Program,Anesthesiology,"Portland, OR", University-based , 14 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404021129,,,
0404100205,Geisinger Health System Program,Anesthesiology,"Danville, PA", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0404100205,,,
0404111130,Penn State Milton S Hershey Medical Center Program,Anesthesiology,"Hershey, PA", University-based , 16 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404111130,,,
0404100206,UPMC Medical Education/Lititz Program,Anesthesiology,"Lititz, PA", Community-based university affiliated , 2 first year positions ,False,,https://freida.ama-assn.org/program/0404100206,,,
0404121134,University of Pennsylvania Health System Program,Anesthesiology,"Philadelphia, PA", University-based , 20 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404121134,,,
0404121137,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,Anesthesiology,"Philadelphia, PA", University-based , 10 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404121137,,,
0404131136,Temple University Hospital Program,Anesthesiology,"Philadelphia, PA", University-based , 8 first year positions ,False,,https://freida.ama-assn.org/program/0404131136,,,
0404121139,UPMC Medical Education Program,Anesthesiology,"Pittsburgh, PA", University-based , 20 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404121139,,,
0404132141,Allegheny Health Network Medical Education Consortium (AGH/WPH) Program,Anesthesiology,"Pittsburgh, PA", Community-based university affiliated ,,False,,https://freida.ama-assn.org/program/0404132141,,,
7264144007,UPMC Medical Education Program,Pediatrics/Anesthesiology,"Pittsburgh, PA", University-based , 1 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/7264144007,,,
0404100207,Robert Packer Hospital Program,Anesthesiology,"Sayre, PA", Community-based , 3 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404100207,,,
0404100208,Tower Health Program,Anesthesiology,"West Reading, PA", Community-based university affiliated , 6 first year positions ,False,,https://freida.ama-assn.org/program/0404100208,,,
0404221142,University of Puerto Rico Program,Anesthesiology,"San Juan, PR", University-based , 3 first year positions ,False,,https://freida.ama-assn.org/program/0404221142,,,
0404300001,Brown University/Rhode Island Hospital-Lifespan Program,Anesthesiology,"Providence, RI", University-based , 20 first year positions ,True,,https://freida.ama-assn.org/program/0404300001,,,
0404522143,Medical University of South Carolina Program,Anesthesiology,"Charleston, SC", University-based , 18 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404522143,,,
0404500144,HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,Anesthesiology,"Myrtle Beach, SC", Community-based university affiliated , 6 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404500144,,,
0404711144,University of Tennessee Medical Center at Knoxville Program,Anesthesiology,"Knoxville, TN", University-based , 10 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404711144,,,
0404700202,University of Tennessee College of Medicine Program,Anesthesiology,"Memphis, TN", University-based ,,False,,https://freida.ama-assn.org/program/0404700202,,,
0404711146,Vanderbilt University Medical Center Program,Anesthesiology,"Nashville, TN", University-based , 21 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404711146,,,
0404821147,University of Texas Southwestern Medical Center Program,Anesthesiology,"Dallas, TX", University-based , 17 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404821147,,,
0404800004,Baylor All Saints Medical Center Fort Worth Program,Anesthesiology,"Fort Worth, TX", Community-based university affiliated , 4 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404800004,,,
0404821091,San Antonio Uniformed Services Health Education Consortium Program,Anesthesiology,"Ft Sam Houston, TX", Military-based ,,False,,https://freida.ama-assn.org/program/0404821091,,,
0404811149,University of Texas Medical Branch Hospitals Program,Anesthesiology,"Galveston, TX", University-based , 20 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404811149,,,
0404831150,Baylor College of Medicine Program,Anesthesiology,"Houston, TX", Community-based university affiliated , 14 first year positions ,False,,https://freida.ama-assn.org/program/0404831150,,,
0404831152,University of Texas Health Science Center at Houston Program,Anesthesiology,"Houston, TX", Community-based university affiliated , 26 first year positions ,True, NRMP match ,https://freida.ama-assn.org/program/0404831152,,,
0404800001,Methodist Hospital (Houston) Program,Anesthesiology,"Houston, TX", University-based , 10 first year positions ,False,,https://freida.ama-assn.org/program/0404800001,,,
0404811153,Texas Tech University Health Sciences Center at Lubbock Program,Anesthesiology,"Lubbock, TX", University-based , 4 first year positions ,False,,https://freida.ama-assn.org/program/0404811153,,,
