Program ID,Program Name,Specialty,"Program City, State",Type of Program,Number of 1st Yr Positions,ERAS Participation,NRMP match,Program URL,Link to Overview,Link to ProgramWorkSchedule,Link to FeaturesBenefits
402021053,University of Louisville School of Medicine Program,Anesthesiology,"Louisville, KY",University-based,11 first year positions,checked,checked,https://freida.ama-assn.org/program/0402021053,,,
402112055,Ochsner Clinic Foundation Program,Anesthesiology,"New Orleans, LA",N/A,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0402112055,,,
402131168,Tulane University Program,Anesthesiology,"New Orleans, LA",University-based,6 first year positions,,,https://freida.ama-assn.org/program/0402131168,,,
402131199,Louisiana State University School of Medicine Program,Anesthesiology,"New Orleans, LA",University-based,7 first year positions,,,https://freida.ama-assn.org/program/0402131199,,,
402111056,Louisiana State University (Shreveport) Program,Anesthesiology,"Shreveport, LA",University-based,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0402111056,,,
402411060,Beth Israel Deaconess Medical Center Program,Anesthesiology,"Boston, MA",University-based,16 first year positions,checked,checked,https://freida.ama-assn.org/program/0402411060,,,
402421062,Boston University Medical Center Program,Anesthesiology,"Boston, MA",University-based,8 first year positions,checked,,https://freida.ama-assn.org/program/0402421062,,,
402421065,Tufts Medical Center Program,Anesthesiology,"Boston, MA",University-based,10 first year positions,,,https://freida.ama-assn.org/program/0402421065,,,
402421066,Mass General Brigham Program,Anesthesiology,"Boston, MA",N/A,19 first year positions,checked,checked,https://freida.ama-assn.org/program/0402421066,,,
402421067,St Elizabeth's Medical Center Program,Anesthesiology,"Boston, MA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0402421067,,,
402431064,Mass General Brigham Program,Anesthesiology,"Boston, MA",University-based,29 first year positions,,,https://freida.ama-assn.org/program/0402431064,,,
402400071,Lahey Clinic Program,Anesthesiology,"Burlington, MA",N/A,8 first year positions,checked,,https://freida.ama-assn.org/program/0402400071,,,
402412069,Umass Chan-Baystate Program,Anesthesiology,"Springfield, MA",N/A,9 first year positions,checked,checked,https://freida.ama-assn.org/program/0402412069,,,
402431070,UMass Chan Medical School Program,Anesthesiology,"Worcester, MA",University-based,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0402431070,,,
402311059,University of Maryland Program,Anesthesiology,"Baltimore, MD",University-based,8 first year positions,,,https://freida.ama-assn.org/program/0402311059,,,
402321058,Johns Hopkins University Program,Anesthesiology,"Baltimore, MD",University-based,25 first year positions,,,https://freida.ama-assn.org/program/0402321058,,,
401021190,National Capital Consortium Program,Anesthesiology,"Bethesda, MD",N/A,N/A,,,https://freida.ama-assn.org/program/0401021190,,,
402300001,TidalHealth Program,Anesthesiology,"Salisbury, MD",N/A,4 first year positions,,,https://freida.ama-assn.org/program/0402300001,,,
402211057,Maine Medical Center Program,Anesthesiology,"Portland, ME",N/A,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0402211057,,,
402521071,University of Michigan Health System Program,Anesthesiology,"Ann Arbor, MI",University-based,30 first year positions,checked,checked,https://freida.ama-assn.org/program/0402521071,,,
402521185,Henry Ford Health/Henry Ford Hospital Program,Anesthesiology,"Detroit, MI",N/A,12 first year positions,checked,checked,https://freida.ama-assn.org/program/0402521185,,,
402531073,Detroit Medical Center/Wayne State University Program,Anesthesiology,"Detroit, MI",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0402531073,,,
402500001,McLaren Health Care Corporation Program,Anesthesiology,"Flint, MI",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0402500001,,,
402500208,McLaren Health Care/Greater Lansing/MSU Program,Anesthesiology,"Lansing, MI",N/A,4 first year positions,,,https://freida.ama-assn.org/program/0402500208,,,
402500206,Wayne State University School of Medicine Program,Anesthesiology,"Pontiac, MI",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0402500206,,,
402500207,McLaren Health Care/Oakland/MSU Program,Anesthesiology,"Pontiac, MI",N/A,3 first year positions,checked,checked,https://freida.ama-assn.org/program/0402500207,,,
402513202,Corewell Health East Beaumont Beaumont (Royal Oak) Program,Anesthesiology,"Royal Oak, MI",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0402513202,,,
402631075,University of Minnesota Program,Anesthesiology,"Minneapolis, MN",University-based,10 first year positions,checked,checked,https://freida.ama-assn.org/program/0402631075,,,
402621076,Mayo Clinic College of Medicine and Science (Rochester) Program,Anesthesiology,"Rochester, MN",N/A,18 first year positions,checked,checked,https://freida.ama-assn.org/program/0402621076,,,
402811078,University of Missouri-Columbia Program,Anesthesiology,"Columbia, MO",University-based,5 first year positions,checked,checked,https://freida.ama-assn.org/program/0402811078,,,
402812080,University of Missouri-Kansas City School of Medicine Program,Anesthesiology,"Kansas City, MO",N/A,8 first year positions,checked,,https://freida.ama-assn.org/program/0402812080,,,
402811081,Washington University/B-JH/SLCH Consortium Program,Anesthesiology,"St Louis, MO",University-based,22 first year positions,checked,checked,https://freida.ama-assn.org/program/0402811081,,,
402821166,SSM Health/Saint Louis University School of Medicine Program,Anesthesiology,"St Louis, MO",University-based,10 first year positions,,,https://freida.ama-assn.org/program/0402821166,,,
402711077,University of Mississippi Medical Center Program,Anesthesiology,"Jackson, MS",University-based,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0402711077,,,
403621114,University of North Carolina Hospitals Program,Anesthesiology,"Chapel Hill, NC",University-based,14 first year positions,checked,,https://freida.ama-assn.org/program/0403621114,,,
403631115,Duke University Hospital Program,Anesthesiology,"Durham, NC",University-based,15 first year positions,,,https://freida.ama-assn.org/program/0403631115,,,
403621116,Wake Forest University Baptist Medical Center Program,Anesthesiology,"Winston-Salem, NC",University-based,14 first year positions,checked,checked,https://freida.ama-assn.org/program/0403621116,,,
403011082,University of Nebraska Medical Center College of Medicine Program,Anesthesiology,"Omaha, NE",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0403011082,,,
403211083,Dartmouth-Hitchcock/Mary Hitchcock Memorial Hospital Program,Anesthesiology,"Lebanon, NH",University-based,10 first year positions,checked,checked,https://freida.ama-assn.org/program/0403211083,,,
403311195,Cooper Medical School of Rowan University/Cooper University Hospital Program,Anesthesiology,"Camden, NJ",University-based,5 first year positions,checked,checked,https://freida.ama-assn.org/program/0403311195,,,
403300196,Hackensack University Medical Center Program,Anesthesiology,"Hackensack, NJ",N/A,4 first year positions,checked,,https://freida.ama-assn.org/program/0403300196,,,
403300197,Jersey Shore University Medical Center Program,Anesthesiology,"Neptune City, NJ",N/A,N/A,,,https://freida.ama-assn.org/program/0403300197,,,
403321180,Rutgers Health/Robert Wood Johnson Medical School Program,Anesthesiology,"New Brunswick, NJ",University-based,12 first year positions,checked,checked,https://freida.ama-assn.org/program/0403321180,,,
403321087,Rutgers Health/New Jersey Medical School Program,Anesthesiology,"Newark, NJ",N/A,8 first year positions,,,https://freida.ama-assn.org/program/0403321087,,,
403321089,St Joseph's University Medical Center Program,Anesthesiology,"Paterson, NJ",University-based,8 first year positions,checked,checked,https://freida.ama-assn.org/program/0403321089,,,
403421183,University of New Mexico School of Medicine Program,Anesthesiology,"Albuquerque, NM",University-based,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0403421183,,,
403100001,HCA Healthcare Sunrise Health GME/MountainView Program,Anesthesiology,"Las Vegas, NV",N/A,8 first year positions,,,https://freida.ama-assn.org/program/0403100001,,,
403521167,Albany Medical Center Program,Anesthesiology,"Albany, NY",University-based,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521167,,,
403500001,Zucker School of Medicine at Hofstra/Northwell at South Shore University Hospital Program,Anesthesiology,"Bayshore, NY",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0403500001,,,
403521181,Montefiore Medical Center/Albert Einstein College of Medicine Program,Anesthesiology,"Bronx, NY",University-based,11 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521181,,,
403511101,Maimonides Medical Center Program,Anesthesiology,"Brooklyn, NY",N/A,11 first year positions,,,https://freida.ama-assn.org/program/0403511101,,,
403511102,New York-Presbyterian Brooklyn Methodist Hospital Program,Anesthesiology,"Brooklyn, NY",N/A,5 first year positions,,,https://freida.ama-assn.org/program/0403511102,,,
403521110,SUNY Downstate Health Sciences University Program,Anesthesiology,"Brooklyn, NY",University-based,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521110,,,
403521093,University at Buffalo Program,Anesthesiology,"Buffalo, NY",N/A,12 first year positions,,,https://freida.ama-assn.org/program/0403521093,,,
403500182,Zucker School of Medicine at Hofstra/Northwell Program,Anesthesiology,"New Hyde Park, NY",University-based,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0403500182,,,
403500184,New York Medical College at Metropolitan Hospital Program,Anesthesiology,"New York, NY",N/A,5 first year positions,,,https://freida.ama-assn.org/program/0403500184,,,
403511107,New York Presbyterian Hospital (Columbia Campus) Program,Anesthesiology,"New York, NY",University-based,26 first year positions,,,https://freida.ama-assn.org/program/0403511107,,,
403511108,Icahn School of Medicine at Mount Sinai/Morningside/West Program,Anesthesiology,"New York, NY",N/A,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0403511108,,,
403521098,New York Presbyterian Hospital (Cornell Campus) Program,Anesthesiology,"New York, NY",University-based,20 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521098,,,
403521104,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital Program,Anesthesiology,"New York, NY",University-based,26 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521104,,,
403521106,NYU Grossman School of Medicine Program,Anesthesiology,"New York, NY",University-based,36 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521106,,,
403500183,Nuvance Health Program,Anesthesiology,"Poughkeepsie, NY",N/A,6 first year positions,checked,,https://freida.ama-assn.org/program/0403500183,,,
403511111,University of Rochester Program,Anesthesiology,"Rochester, NY",University-based,19 first year positions,checked,checked,https://freida.ama-assn.org/program/0403511111,,,
403521170,Stony Brook Medicine/University Hospital Program,Anesthesiology,"Stony Brook, NY",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0403521170,,,
403521113,SUNY Upstate Medical University Program,Anesthesiology,"Syracuse, NY",University-based,11 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521113,,,
403521105,Westchester Medical Center Program,Anesthesiology,"Valhalla, NY",University-based,13 first year positions,checked,checked,https://freida.ama-assn.org/program/0403521105,,,
403821118,University of Cincinnati Medical Center/College of Medicine Program,Anesthesiology,"Cincinnati, OH",University-based,10 first year positions,checked,checked,https://freida.ama-assn.org/program/0403821118,,,
403821119,Case Western Reserve University/University Hospitals Cleveland Medical Center Program,Anesthesiology,"Cleveland, OH",University-based,16 first year positions,checked,,https://freida.ama-assn.org/program/0403821119,,,
403821174,The MetroHealth System/Case Western Reserve University Program,Anesthesiology,"Cleveland, OH",University-based,4 first year positions,checked,checked,https://freida.ama-assn.org/program/0403821174,,,
403822120,Cleveland Clinic Foundation Program,Anesthesiology,"Cleveland, OH",N/A,22 first year positions,checked,checked,https://freida.ama-assn.org/program/0403822120,,,
403800175,OhioHealth/Doctors Hospital Program,Anesthesiology,"Columbus, OH",N/A,N/A,,,https://freida.ama-assn.org/program/0403800175,,,
403811123,Ohio State University Hospital Program,Anesthesiology,"Columbus, OH",University-based,16 first year positions,checked,checked,https://freida.ama-assn.org/program/0403811123,,,
403800176,Kettering Health Network Program,Anesthesiology,"Dayton, OH",N/A,3 first year positions,,,https://freida.ama-assn.org/program/0403800176,,,
403821125,University of Toledo Program,Anesthesiology,"Toledo, OH",University-based,4 first year positions,,,https://freida.ama-assn.org/program/0403821125,,,
403800177,Cleveland Clinic Foundation/South Pointe Hospital Program,Anesthesiology,"Warrensville Heights, OH",N/A,3 first year positions,checked,checked,https://freida.ama-assn.org/program/0403800177,,,
403921128,University of Oklahoma Health Sciences Center Program,Anesthesiology,"Oklahoma City, OK",University-based,12 first year positions,checked,,https://freida.ama-assn.org/program/0403921128,,,
403900129,Oklahoma State University Center for Health Sciences Program,Anesthesiology,"Tulsa, OK",University-based,4 first year positions,,,https://freida.ama-assn.org/program/0403900129,,,
404021129,Oregon Health & Science University (OHSU Health) Program,Anesthesiology,"Portland, OR",University-based,14 first year positions,checked,checked,https://freida.ama-assn.org/program/0404021129,,,
404100205,Geisinger Health System Program,Anesthesiology,"Danville, PA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0404100205,,,
404111130,Penn State Milton S Hershey Medical Center Program,Anesthesiology,"Hershey, PA",University-based,16 first year positions,checked,checked,https://freida.ama-assn.org/program/0404111130,,,
404100206,UPMC Medical Education/Lititz Program,Anesthesiology,"Lititz, PA",N/A,2 first year positions,,,https://freida.ama-assn.org/program/0404100206,,,
404121134,University of Pennsylvania Health System Program,Anesthesiology,"Philadelphia, PA",University-based,20 first year positions,checked,checked,https://freida.ama-assn.org/program/0404121134,,,
404121137,Sidney Kimmel Medical College at Thomas Jefferson University/TJUH Program,Anesthesiology,"Philadelphia, PA",University-based,10 first year positions,checked,checked,https://freida.ama-assn.org/program/0404121137,,,
404131136,Temple University Hospital Program,Anesthesiology,"Philadelphia, PA",University-based,8 first year positions,,,https://freida.ama-assn.org/program/0404131136,,,
404121139,UPMC Medical Education Program,Anesthesiology,"Pittsburgh, PA",University-based,20 first year positions,checked,checked,https://freida.ama-assn.org/program/0404121139,,,
404132141,Allegheny Health Network Medical Education Consortium (AGH/WPH) Program,Anesthesiology,"Pittsburgh, PA",N/A,N/A,,,https://freida.ama-assn.org/program/0404132141,,,
404100207,Robert Packer Hospital Program,Anesthesiology,"Sayre, PA",N/A,3 first year positions,checked,checked,https://freida.ama-assn.org/program/0404100207,,,
404100208,Tower Health Program,Anesthesiology,"West Reading, PA",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0404100208,,,
404221142,University of Puerto Rico Program,Anesthesiology,"San Juan, PR",University-based,3 first year positions,,,https://freida.ama-assn.org/program/0404221142,,,
404300001,Brown University/Rhode Island Hospital-Lifespan Program,Anesthesiology,"Providence, RI",University-based,20 first year positions,checked,,https://freida.ama-assn.org/program/0404300001,,,
404522143,Medical University of South Carolina Program,Anesthesiology,"Charleston, SC",University-based,18 first year positions,checked,checked,https://freida.ama-assn.org/program/0404522143,,,
404500144,HCA Healthcare/Mercer University School of Medicine/Grand Strand Medical Center Program,Anesthesiology,"Myrtle Beach, SC",N/A,6 first year positions,checked,checked,https://freida.ama-assn.org/program/0404500144,,,
404711144,University of Tennessee Medical Center at Knoxville Program,Anesthesiology,"Knoxville, TN",University-based,10 first year positions,checked,checked,https://freida.ama-assn.org/program/0404711144,,,
404700202,University of Tennessee College of Medicine Program,Anesthesiology,"Memphis, TN",University-based,N/A,,,https://freida.ama-assn.org/program/0404700202,,,
404711146,Vanderbilt University Medical Center Program,Anesthesiology,"Nashville, TN",University-based,21 first year positions,checked,checked,https://freida.ama-assn.org/program/0404711146,,,
404821147,University of Texas Southwestern Medical Center Program,Anesthesiology,"Dallas, TX",University-based,17 first year positions,checked,checked,https://freida.ama-assn.org/program/0404821147,,,
404800004,Baylor All Saints Medical Center Fort Worth Program,Anesthesiology,"Fort Worth, TX",N/A,4 first year positions,checked,checked,https://freida.ama-assn.org/program/0404800004,,,
404821091,San Antonio Uniformed Services Health Education Consortium Program,Anesthesiology,"Ft Sam Houston, TX",N/A,N/A,,,https://freida.ama-assn.org/program/0404821091,,,
404811149,University of Texas Medical Branch Hospitals Program,Anesthesiology,"Galveston, TX",University-based,20 first year positions,checked,checked,https://freida.ama-assn.org/program/0404811149,,,
404831150,Baylor College of Medicine Program,Anesthesiology,"Houston, TX",N/A,14 first year positions,,,https://freida.ama-assn.org/program/0404831150,,,
404831152,University of Texas Health Science Center at Houston Program,Anesthesiology,"Houston, TX",N/A,26 first year positions,checked,checked,https://freida.ama-assn.org/program/0404831152,,,
404800001,Methodist Hospital (Houston) Program,Anesthesiology,"Houston, TX",University-based,10 first year positions,,,https://freida.ama-assn.org/program/0404800001,,,
404811153,Texas Tech University Health Sciences Center at Lubbock Program,Anesthesiology,"Lubbock, TX",University-based,4 first year positions,,,https://freida.ama-assn.org/program/0404811153,,,
404821155,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,Anesthesiology,"San Antonio, TX",University-based,18 first year positions,checked,,https://freida.ama-assn.org/program/0404821155,,,
404821156,Texas A&M College of Medicine-Scott and White Medical Center (Temple) Program,Anesthesiology,"Temple, TX",N/A,12 first year positions,checked,checked,https://freida.ama-assn.org/program/0404821156,,,
404800002,University of Texas Health Science Center at Tyler Program,Anesthesiology,"Tyler, TX",N/A,6 first year positions,,,https://freida.ama-assn.org/program/0404800002,,,
404931157,University of Utah Health Program,Anesthesiology,"Salt Lake City, UT",University-based,5 first year positions,checked,checked,https://freida.ama-assn.org/program/0404931157,,,
405111159,University of Virginia Medical Center Program,Anesthesiology,"Charlottesville, VA",University-based,14 first year positions,,,https://freida.ama-assn.org/program/0405111159,,,
401100002,University of South Florida Morsani College of Medicine Program,Anesthesiology,"Charlottesville, VA",University-based,12 first year positions,,,https://freida.ama-assn.org/program/0401100002,,,
405121008,Naval Medical Center (Portsmouth) Program,Anesthesiology,"Portsmouth, VA",N/A,N/A,,,https://freida.ama-assn.org/program/0405121008,,,
405111160,Virginia Commonwealth University Health System Program,Anesthesiology,"Richmond, VA",University-based,11 first year positions,checked,checked,https://freida.ama-assn.org/program/0405111160,,,
405011158,University of Vermont Medical Center Program,Anesthesiology,"Burlington, VT",University-based,6 first year positions,,,https://freida.ama-assn.org/program/0405011158,,,
405412162,Virginia Mason Franciscan Health Program,Anesthesiology,"Seattle, WA",N/A,9 first year positions,,,https://freida.ama-assn.org/program/0405412162,,,
405421161,University of Washington Program,Anesthesiology,"Seattle, WA",University-based,26 first year positions,checked,checked,https://freida.ama-assn.org/program/0405421161,,,
405621164,University of Wisconsin Hospitals and Clinics Program,Anesthesiology,"Madison, WI",University-based,16 first year positions,checked,checked,https://freida.ama-assn.org/program/0405621164,,,
405621165,Medical College of Wisconsin Affiliated Hospitals Program,Anesthesiology,"Milwaukee, WI",N/A,22 first year positions,checked,checked,https://freida.ama-assn.org/program/0405621165,,,
405511163,West Virginia University Program,Anesthesiology,"Morgantown, WV",University-based,9 first year positions,,,https://freida.ama-assn.org/program/0405511163,,,
