Company Name,Phone No 1,Phone No 2,Phone No 3,Phone No 4,Phone No 5,Address,City,State,Postal Code,URL
BMB Roofing Ltd,(604) 593-1723,,,,,12985 70 B Ave ,Surrey,BC,V3W 7A6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/bmb-roofing-ltd-0037-1373563
Paras Roofing Ltd.,(604) 319-1312,,,,,8746 August Dr ,Surrey,BC,V3S 5A2,https://www.bbb.org/ca/bc/surrey/profile/commercial-roofing/paras-roofing-ltd-0037-1255997
Roofmart Pacific Ltd,(604) 591-5171,(604) 299-8035,(604) 591-5750,,,8321 132 St ,Surrey,BC,V3W 4N6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/roofmart-pacific-ltd-0037-111348
Quinn Industries,(604) 862-1731,,,,,14589 74 Ave ,Surrey,BC,V3S 2G6,https://www.bbb.org/ca/bc/surrey/profile/home-additions/quinn-industries-0037-1292905
JTH Finishing Carpentry Ltd,(604) 441-1734,,,,,14378 72 Ave ,Surrey,BC,V3W 2R1,https://www.bbb.org/ca/bc/surrey/profile/carpenter/jth-finishing-carpentry-ltd-0037-1364998
Gurprit Drywall & Renovations,(604) 245-4351,,,,,14701 72 Ave ,Surrey,BC,V3S 2E8,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/gurprit-drywall-renovations-0037-1296637
Smart Choice Painting Inc.,(778) 928-6058,,,,,7265 143 St ,Surrey,BC,V3W 5P1,https://www.bbb.org/ca/bc/surrey/profile/painting-contractors/smart-choice-painting-inc-0037-2396524
Young boy construction ltd,(604) 363-6465,,,,,14571 76 A Ave ,Surrey,BC,V3S 2P4,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/young-boy-construction-ltd-0037-2409034
Pyramid Dream Homes Ltd.,(778) 882-5653,,,,,7539 148 Street ,Surrey,BC,V3S 3E8,https://www.bbb.org/ca/bc/surrey/profile/home-builders/pyramid-dream-homes-ltd-0037-1365554
Unique Arts Home Renovations,(604) 318-0434,,,,,14168 72 Ave ,Surrey,BC,V3W 2P8,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/unique-arts-home-renovations-0037-1214749
TSA Construction Inc,(778) 688-5764,,,,,6926 148 St ,Surrey,BC,V3S 3E2,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/tsa-construction-inc-0037-1375430
Rimo Construction Ltd,(604) 700-5808,,,,,7153 140A St ,Surrey,BC,V3W 7V6,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/rimo-construction-ltd-0037-1372087
All Seasons Development Ltd.,(778) 565-5649,,,,,7691 150A St ,Surrey,BC,V3S 5P1,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/all-seasons-development-ltd-0037-1275607
Wagner Restorations Ltd,(604) 590-9039,,,,,14045 77 Ave ,Surrey,BC,V3W 2W8,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/wagner-restorations-ltd-0037-1203871
Fastrack Drywall,(778) 823-6462,,,,,14470 67 B Ave ,Surrey,BC,V3S 0T3,https://www.bbb.org/ca/bc/surrey/profile/drywall-contractors/fastrack-drywall-0037-1374795
Divine Designs Construction,(604) 551-4204,,,,,14602 67 B Ave ,Surrey,BC,V3S 0N1,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/divine-designs-construction-0037-1371872
Budget Aluminum and Allied World Ltd.,(604) 783-8356,(604) 783-8356,,,,,Surrey,BC,V3S 0Z4,https://www.bbb.org/ca/bc/surrey/profile/deck-railings/budget-aluminum-and-allied-world-ltd-0037-1376670
Toms Roofing Ltd.,(778) 552-8533,,,,,6308 130B St ,Surrey,BC,V3X 1R4,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/toms-roofing-ltd-0037-1285595
Blueline Roofing&Sheet Metal,(604) 594-7868,,,,,101 13119 84th Ave ,Surrey,BC,V3W 1B3,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/blueline-roofingsheet-metal-0037-1271333
Relevant Roofing Inc,(604) 367-8448,,,,,831 102 15910 Fraser Hwy ,Surrey,BC,V4N 0X9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/relevant-roofing-inc-0037-1369019
Baaz Roofing Ltd.,(778) 870-1850,,,,,6693 127 St ,Surrey,BC,V3W 1G5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/baaz-roofing-ltd-0037-1365003
Dulay Roofing Ltd.,(604) 250-9842,,,,,12565 69A Ave ,Surrey,BC,V3W 1P9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/dulay-roofing-ltd-0037-1215711
H & R Roofing Ltd.,(604) 897-7939,,,,,6933 125 A St ,Surrey,BC,V3W 1P9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/h-r-roofing-ltd-0037-1277072
DC Roofing Inc.,(604) 503-3500,,,,,110 8468 162 St ,Surrey,BC,V4N 1B4,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/dc-roofing-inc-0037-1198806
SRS Roofing,(604) 655-8486,,,,,,Surrey,BC,V3W 9J1,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/srs-roofing-0037-1378742
OTE Gutters & Roofing Ltd.,(604) 404-9744,,,,,6250 137B St ,Surrey,BC,V3X 3R1,https://www.bbb.org/ca/bc/surrey/profile/building-contractors/ote-gutters-roofing-ltd-0037-2401833
Dulai Roofing Ltd.,(604) 597-4435,,,,,112 13045 84 Ave ,Surrey,BC,V3W 1B3,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/dulai-roofing-ltd-0037-117531
Pooni Contracting,(604) 590-4524,,,,,14854 72 Ave ,Surrey,BC,V3S 2G1,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/pooni-contracting-0037-1206920
Divine Electrical Contractors Ltd,(778) 589-5113,,,,,14862 72 Ave ,Surrey,BC,V3S 2G1,https://www.bbb.org/ca/bc/surrey/profile/electrical-contractors/divine-electrical-contractors-ltd-0037-1287582
Aark Construction Ltd,(604) 596-0652,(604) 596-0652,,,,14783 69A Ave ,Surrey,BC,V3S 2C7,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/aark-construction-ltd-0037-139571
Gurmeet Kooner Ltd,(778) 883-8534,,,,,14999 71A Ave ,Surrey,BC,V3S 0A1,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/gurmeet-kooner-ltd-0037-1232879
Modern Touch Construction,(604) 779-8412,,,,,,Surrey,BC,V3W 9V9,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/modern-touch-construction-0037-2404509
MVP Home & Property Services,(604) 562-5996,,,,,14940 69A Ave ,Surrey,BC,V3S 0Y9,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/mvp-home-property-services-0037-1232340
Shimmer Development,(604) 618-8205,,,,,-- ,Surrey,BC,V3S 3J3,https://www.bbb.org/ca/bc/surrey/profile/construction/shimmer-development-0037-1369161
AGG Painting Ltd.,(604) 723-4098,,,,,6961 150 St ,Surrey,BC,V3S 3J3,https://www.bbb.org/ca/bc/surrey/profile/commercial-painter/agg-painting-ltd-0037-1365112
Wayjo General Contracting,(604) 596-3013,,,,,7925 148 Ave ,Surrey,BC,V3S 3G1,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/wayjo-general-contracting-0037-1188891
Bill Lightfoot Construction,(604) 507-8120,,,,,205 13771 72A Avenue ,Surrey,BC,V3W 9C6,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/bill-lightfoot-construction-0037-1230188
Singh Contracting Ltd.,,,,,,. ,Surrey,BC,V3W 7K2,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/singh-contracting-ltd-0037-1370793
Peak Masters,(604) 783-1345,,,,,44 8428 Venture Way ,Surrey,BC,V3S 0W6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/peak-masters-0037-1274499
Aquaguard Roofing Ltd,(604) 765-1782,,,,,6459 130 St ,Surrey,BC,V3W 4H9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/aquaguard-roofing-ltd-0037-1301920
Pattar Roofing Ltd.,(604) 250-8977,,,,,13283 56 Ave ,Surrey,BC,V3X 2Z5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/pattar-roofing-ltd-0037-102992
Jas Mann Roofing and Waterproofing Inc.,(778) 229-6266,(604) 597-3225,(778) 402-6371,(604) 897-1484,,8733 162 A St ,Surrey,BC,V4N 1J7,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/jas-mann-roofing-and-waterproofing-inc-0037-1261665
Homelife Roofing Ltd.,(604) 445-9978,,,,,15108 95A Ave ,Surrey,BC,V3R 1E5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/homelife-roofing-ltd-0037-1367615
PR Peter Roofing Ltd.,(604) 589-4603,(604) 589-4603,(604) 857-3325,,,7440 149A St ,Surrey,BC,V3S 3H5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/pr-peter-roofing-ltd-0037-130412
Signature Roofing,(604) 616-9016,,,,,14661 83 Ave ,Surrey,BC,V3S 9K5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/signature-roofing-0037-1232850
Active Roofing Ltd.,(604) 765-0903,,,,,111 6030 142 St ,Surrey,BC,V3X 0J5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/active-roofing-ltd-0037-1369931
Complete Roofing Ltd.,(604) 725-0106,(604) 591-1353,,,,15575 86 Ave ,Surrey,BC,V3S 5C8,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/complete-roofing-ltd-0037-1231695
All World 1419 Roofing Ltd.,(778) 868-7475,,,,,7550 123A St ,Surrey,BC,V3W 9P6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/all-world-1419-roofing-ltd-0037-1376987
S & S Siding & Gutters,(604) 888-6369,,,,,6702 138 St ,Surrey,BC,V3W 5G8,https://www.bbb.org/ca/bc/surrey/profile/gutters/s-s-siding-gutters-0037-1202916
Mighty Moe Property Maintenance & Gutters Inc.,(778) 242-4145,,,,,107 15336 67 Ave ,Surrey,BC,V3S 7C9,https://www.bbb.org/ca/bc/surrey/profile/gutters/mighty-moe-property-maintenance-gutters-inc-0037-1286111
Real Siding and Gutters Ltd.,(778) 237-3809,,,,,13498 80A Ave ,Surrey,BC,V3W 8A6,https://www.bbb.org/ca/bc/surrey/profile/gutters/real-siding-and-gutters-ltd-0037-2420575
ARA Gutters,(604) 765-3130,,,,,87 8190 King George Blvd ,Surrey,BC,V3W 5B7,https://www.bbb.org/ca/bc/surrey/profile/gutters/ara-gutters-0037-1266723
Arnold & Sons Roofing Ltd.,(604) 599-0821,(604) 599-0826,,,,112 13302 76 Ave ,Surrey,BC,V3W 2W1,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/arnold-sons-roofing-ltd-0037-115446
Super General Contractors Ltd.,(604) 537-8173,,,,,6109 150A St ,Surrey,BC,V3S 7W9,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/super-general-contractors-ltd-0037-1273407
JustAsk Bc Property Maintenance,(604) 372-4691,,,,,15436 Killarney Pl ,Surrey,BC,V3S 7G8,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/justask-bc-property-maintenance-0037-1293092
Prima Services,(604) 227-7402,,,,,9036 146A St ,Surrey,BC,V3R 6X7,https://www.bbb.org/ca/bc/vancouver/profile/gutters/prima-services-0037-1273092
Uppal Building Supplies Ltd.,(604) 594-4142,,,,,7846 128 St ,Surrey,BC,V3W 4E8,https://www.bbb.org/ca/bc/surrey/profile/building-materials/uppal-building-supplies-ltd-0037-1230366
Superior Gutter Rescue Ltd,(604) 951-1133,,,,,9099 149 St ,Surrey,BC,V3R 3Z5,https://www.bbb.org/ca/bc/surrey/profile/gutters/superior-gutter-rescue-ltd-0037-1241364
Duall Star Construction,(604) 594-3052,,,,,13031 63 Ave ,Surrey,BC,V3X 1R2,https://www.bbb.org/ca/bc/surrey/profile/gutters/duall-star-construction-0037-216207
Discovery Building Maintenance,(604) 363-6244,,,,,8906 135A St ,Surrey,BC,V3V 5V3,https://www.bbb.org/ca/bc/surrey/profile/janitor-service/discovery-building-maintenance-0037-1271047
Anand Masonry Ltd,(604) 725-3094,,,,,13362 68 Ave ,Surrey,BC,V3W 2E7,https://www.bbb.org/ca/bc/surrey/profile/mason-contractors/anand-masonry-ltd-0037-1375911
Kelowna Pine Lighting,(250) 862-3245,(604) 591-8114,(604) 591-8895,,,6898 King George Blvd ,Surrey,BC,V3W 4Z9,https://www.bbb.org/ca/bc/kelowna/profile/light-fixture-repair/kelowna-pine-lighting-0037-1219139
Canadian Windows,(604) 593-5101,,,,,130 12885 85 Ave ,Surrey,BC,V3W 0K8,https://www.bbb.org/ca/bc/surrey/profile/windows/canadian-windows-0037-126297
East-Can Roofing & Siding Ltd,(604) 562-0957,,,,,7592 125 St ,Surrey,BC,V3W 0M3,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/east-can-roofing-siding-ltd-0037-1250893
Canam Roofing Ltd.,(778) 881-1417,,,,,12266 68A Ave ,Surrey,BC,V3W 0X3,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/canam-roofing-ltd-0037-1261947
Morrison Windows Ltd.,(604) 539-1315,,,,,8400 124 St ,Surrey,BC,V3W 6K1,https://www.bbb.org/ca/bc/surrey/profile/window-installation/morrison-windows-ltd-0037-1274324
D & R Skylight Installations,(604) 584-3656,,,,,4 12331 84 Ave ,Surrey,BC,V3W 3G8,https://www.bbb.org/ca/bc/surrey/profile/skylights/d-r-skylight-installations-0037-127425
Skyview Windows Inc.,(604) 593-3597,,,,,12154 86 Ave ,Surrey,BC,V3W 3H7,https://www.bbb.org/ca/bc/surrey/profile/windows/skyview-windows-inc-0037-1279641
A Top Roofing Ltd.,(778) 874-0421,,,,,202 13863 100 Ave ,Surrey,BC,V3T 5P5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/a-top-roofing-ltd-0037-2406693
Wesco Glass Restorations,(778) 686-5855,(604) 738-6529,(604) 537-6529,(604) 210-9818,(778) 508-7691,105 - 151 10090 152nd St ,Surrey,BC,V3R 8X8,https://www.bbb.org/ca/bc/coquitlam/profile/glazier/wesco-glass-restorations-0037-1225004
Summit Glazing Systems Inc.,(604) 727-7133,,,,,11638 Commonwealth Cres ,Delta,BC,V4E 2N1,https://www.bbb.org/ca/bc/delta/profile/window-door-installation/summit-glazing-systems-inc-0037-1157970
Crystalline Glass Ltd.,(604) 349-7702,(778) 952-8946,,,,,Surrey,BC,V3T 1L1,https://www.bbb.org/ca/bc/surrey/profile/window-installation/crystalline-glass-ltd-0037-1378746
BHI,(778) 288-4801,,,,,Private Address ,Surrey,BC,V3W 6M7,https://www.bbb.org/ca/bc/surrey/profile/home-builders/bhi-0037-1376636
Dil Brothers Construction Services Ltd,(778) 893-1295,,,,,8820 141A St ,Surrey,BC,V3V 7W5,https://www.bbb.org/ca/bc/surrey/profile/painting-contractors/dil-brothers-construction-services-ltd-0037-1372113
Gurveer Drywall Ltd.,(604) 220-1111,,,,,13237 64A Ave ,Surrey,BC,V3W 7H9,https://www.bbb.org/ca/bc/surrey/profile/drywall-contractors/gurveer-drywall-ltd-0037-1281618
Aims Craftsman Construction,(604) 710-0523,,,,,14696 89 Ave ,Surrey,BC,V3R 6S8,https://www.bbb.org/ca/bc/surrey/profile/general-contractor/aims-craftsman-construction-0037-1377152
Top Line Construction Ltd.,(604) 518-2828,,,,,6918 130 Street ,Surrey,BC,V3W 4J5,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/top-line-construction-ltd-0037-1288972
Liberty Appliance Repair,(604) 813-6382,,,,,"14794 58 Ave, ",Surrey,BC,V3S 1S2,https://www.bbb.org/ca/bc/surrey/profile/appliance-repair/liberty-appliance-repair-0037-2399779
Tanayah Homes,(778) 926-4343,,,,,13927 58 B Ave ,Surrey,BC,V3X 0G7,https://www.bbb.org/ca/bc/surrey/profile/home-builders/tanayah-homes-0037-1385875
Alp Electric Ltd.,(778) 723-4444,,,,,56 8888 151 St ,Surrey,BC,V3R 0Z9,https://www.bbb.org/ca/bc/surrey/profile/electrician/alp-electric-ltd-0037-2399579
Td Renovations,(604) 591-1997,,,,,13541 60a Ave ,Surrey,BC,V3X 1H7,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/td-renovations-0037-1188625
Your City Construction Ltd,(604) 906-4969,,,,,305 14225 57 Ave ,Surrey,BC,V3X 2W6,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/your-city-construction-ltd-0037-2407891
Star Eagle Renovation,(778) 908-6690,,,,,7337- 128 B St. ,Surrey,BC,V3W 7E5,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/star-eagle-renovation-0037-1285721
Wood + Wall Renovations,(604) 551-0604,,,,,. ,Surrey,BC,V3R 8V1,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/wood-wall-renovations-0037-2419138
Vector Construction & Renovations,(604) 690-3327,,,,,15448 Kildare Dr ,Surrey,BC,V3S 6B9,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/vector-construction-renovations-0037-1202590
Global World Painting,(778) 855-9006,,,,,14875 56 B Ave ,Surrey,BC,V3S 8W8,https://www.bbb.org/ca/bc/surrey/profile/painting-contractors/global-world-painting-0037-2400997
Northwood Home Inspections,(778) 574-4663,(604) 575-9366,,,,6828 176A St ,Surrey,BC,V3S 4P4,https://www.bbb.org/ca/bc/surrey/profile/home-inspection/northwood-home-inspections-0037-1133986
SPS Roofing Ltd,(604) 618-1643,,,,,,Surrey,BC,V3T 3E4,https://www.bbb.org/ca/bc/surrey/profile/commercial-roofing/sps-roofing-ltd-0037-1273991
Nelson Roofing & Sheet Metal Ltd.,(250) 336-8088,(250) 336-8089,(250) 287-4939,(250) 287-8784,(888) 318-8642,6925 176 St ,Surrey,BC,V3S 4P4,https://www.bbb.org/ca/bc/courtenay/profile/roofing-contractors/nelson-roofing-sheet-metal-ltd-0047-1286
JJ Roofing,(604) 726-6345,(604) 597-2974,,,,10660 140 St ,Surrey,BC,V3T 4N8,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/jj-roofing-0037-1233616
Macbeth Roofing & Waterproofing,(604) 593-1044,(604) 593-1045,,,,73 13365 115th Ave ,Delta,BC,V4C 2R5,https://www.bbb.org/ca/bc/delta/profile/roofing-contractors/macbeth-roofing-waterproofing-0037-128817
Solid Roofing,(604) 897-4088,,,,,307 5906 176A St ,Surrey,BC,V3S 4H7,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/solid-roofing-0037-1367629
Kinnereth Roofing Company,(778) 317-9040,,,,,11897 97 Ave ,Surrey,BC,V3V 2C4,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/kinnereth-roofing-company-0037-1259952
Guru Roofing Ltd,,,,,,10110 121 A St ,Surrey,BC,V3V 4L2,https://www.bbb.org/ca/bc/surrey/profile/metal-roofing-contractors/guru-roofing-ltd-0037-1369951
Daniel Roofing,(604) 720-3958,,,,,16427 Glenside Pl ,Surrey,BC,V4N 1V6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/daniel-roofing-0037-1258593
Marks Roofing Ltd.,(778) 885-3347,,,,,11079 Swan Cr ,Surrey,BC,V3R 5B7,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/marks-roofing-ltd-0037-1299733
Eaves to Peaks Roofing,(604) 309-8629,,,,,13660 110A Ave. ,Surrey,BC,V3R 2B1,https://www.bbb.org/ca/bc/surrey/profile/commercial-roofing/eaves-to-peaks-roofing-0037-1267360
Kanga Roofing Inc.,(604) 240-9510,,,,,11028 157 St ,Surrey,BC,V4N 1C5,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/kanga-roofing-inc-0037-1274500
Consumers Choice Roofing & Drainage Ltd.,(604) 669-0303,,,,,18267 64 Ave ,Surrey,BC,V3S 0M3,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/consumers-choice-roofing-drainage-ltd-0037-1251547
Titan Roofing Ltd,(778) 855-7663,,,,,10665 Ramona Way ,Delta,BC,V4C 6S5,https://www.bbb.org/ca/bc/delta/profile/roofing-contractors/titan-roofing-ltd-0037-1365002
Kora Kitchen and Bath Design Ltd.,(604) 619-9079,,,,,11890 Gilmour Cr ,Delta,BC,V4C 1L1,https://www.bbb.org/ca/bc/delta/profile/bathroom-design/kora-kitchen-and-bath-design-ltd-0037-1254247
TC Team,(604) 725-9463,,,,,9364 127 St ,Surrey,BC,V3V 6C5,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/tc-team-0037-1298052
Taranis Construction Inc.,(604) 323-6824,,,,,16058 96A Ave ,Surrey,BC,V4N 3K8,https://www.bbb.org/ca/bc/surrey/profile/construction-management/taranis-construction-inc-0037-1236836
MY05 Drywall Ltd,(604) 728-2425,,,,,13286 98 Ave ,Surrey,BC,V3T 5M9,https://www.bbb.org/ca/bc/surrey/profile/drywall-contractors/my05-drywall-ltd-0037-1369930
Eagle Kitchen Cabinets Ltd.,(604) 598-0687,,,,,12102 86 Ave ,Surrey,BC,V3W 3H7,https://www.bbb.org/ca/bc/surrey/profile/cabinets/eagle-kitchen-cabinets-ltd-0037-1292557
J & S Decking Ltd,(778) 868-6704,,,,,15730 98A Ave ,Surrey,BC,V4N 2V7,https://www.bbb.org/ca/bc/burnaby/profile/patios-and-decks/j-s-decking-ltd-0037-1381006
Tristar Enterprises,(604) 727-1631,(604) 589-7994,,,,15785 98 Ave ,Surrey,BC,V4N 2V5,https://www.bbb.org/ca/bc/surrey/profile/handyman/tristar-enterprises-0037-222655
GP Homes Development Limited,(604) 720-3784,,,,,8262 171 St ,Surrey,BC,V4N 0P2,https://www.bbb.org/ca/bc/surrey/profile/home-builders/gp-homes-development-limited-0037-1271873
C Fraser Contracting,(604) 836-3352,,,,,6295 171 St ,Surrey,BC,V3S 7K4,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/c-fraser-contracting-0037-2414811
C Fraser Contracting,(604) 836-3352,,,,,6295 171 St ,Surrey,BC,V3S 7K4,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/c-fraser-contracting-0037-2414812
NO Complaint Construction Ltd.,(604) 788-7410,,,,,17120 64th. Ave. ,Surrey,BC,V3S 1V4,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/no-complaint-construction-ltd-0037-1279732
Frontline Framing Ltd.,(604) 767-9593,,,,,11768 Kerrbay St ,Delta,BC,V4C 1K1,https://www.bbb.org/ca/bc/delta/profile/framing-contractors/frontline-framing-ltd-0037-1281282
PRL Pacific Reconstruction,(604) 319-1657,,,,,110 10090 152 St ,Surrey,BC,V3R 8X8,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/prl-pacific-reconstruction-0037-1365948
Sea to Sky Construction,(778) 688-8812,,,,,8579 171 St ,Surrey,BC,V4N 5J1,https://www.bbb.org/ca/bc/surrey/profile/construction-services/sea-to-sky-construction-0037-1302770
Pinewood Construction Ltd,(604) 724-8990,,,,,9238 124 St. ,Surrey,BC,V3V 4S3,https://www.bbb.org/ca/bc/surrey/profile/home-improvement/pinewood-construction-ltd-0037-1287385
Best JR Roofing,(604) 209-1686,(604) 543-1854,(604) 501-2295,,,300 8820 120 St ,Surrey,BC,V3V 0C9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/best-jr-roofing-0037-1197601
Paragon Roofing BC,(604) 358-3436,,,,,,Surrey,BC,V3V 7R8,https://www.bbb.org/ca/bc/surrey/profile/residential-roofing/paragon-roofing-bc-0037-2417342
Hogan's Roofing Ltd.,(604) 710-4791,,,,,11923 96 Ave ,Surrey,BC,V3V 1W1,https://www.bbb.org/ca/bc/delta/profile/roofing-contractors/hogans-roofing-ltd-0037-1274761
Crucial Roof Services Ltd.,(604) 561-8798,,,,,7813 Garfield Dr ,Delta,BC,V4C 4C9,https://www.bbb.org/ca/bc/delta/profile/roofing-contractors/crucial-roof-services-ltd-0037-1226513
Four Corner Roofing Ltd.,(604) 614-4710,,,,,101 12167 78 Ave ,Surrey,BC,V3W 5B6,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/four-corner-roofing-ltd-0037-1286495
Super Strong Roofing Ltd.,(604) 961-1956,,,,,5810 126A St ,Surrey,BC,V3X 3J4,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/super-strong-roofing-ltd-0037-1208357
Phantom Works Ltd.,(604) 825-4292,,,,,102 7500 Scott Rd ,Surrey,BC,V3W 3N1,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/phantom-works-ltd-0037-2400896
Galaxy Roofing Ltd.,(778) 385-2621,,,,,12581 90 Ave ,Surrey,BC,V3V 1V9,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/galaxy-roofing-ltd-0037-1282379
Anytime Roofing Ltd.,(778) 710-7104,,,,,,Surrey,BC,V3X 3L8,https://www.bbb.org/ca/bc/surrey/profile/roofing-contractors/anytime-roofing-ltd-0037-2428621
Real Longlife Enviro Roofing Corp.,(604) 598-9697,(778) 891-6033,,,,100 8253 120 St ,Delta,BC,V4C 6R1,https://www.bbb.org/ca/bc/delta/profile/roofing-contractors/real-longlife-enviro-roofing-corp-0037-1248385
